q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350.dat_00001_[]-Lyso_Buffer_000_350.dat_00001_[])	error
1.37368500e+00	3.95684800e+00	1.86363606e-01
1.38366400e+00	3.32959400e+00	1.78844103e-01
1.39364300e+00	3.48610800e+00	1.74185680e-01
1.40362200e+00	3.12453800e+00	1.80384490e-01
1.41360100e+00	3.19741500e+00	9.73955086e+00
1.42357900e+00	2.89031400e+00	9.48808454e+00
1.43355800e+00	2.82921300e+00	1.71867545e-01
1.44353700e+00	2.97427200e+00	1.72198806e-01
1.45351600e+00	2.97973500e+00	1.72269086e-01
1.46349500e+00	2.80709600e+00	1.70684425e-01
1.47347400e+00	2.66754300e+00	1.66803529e-01
1.48345300e+00	2.66802000e+00	1.64300779e-01
1.49343100e+00	2.50499400e+00	1.67756812e-01
1.50341000e+00	2.59010000e+00	1.65677732e-01
1.51338900e+00	2.18613200e+00	1.67023004e-01
1.52336800e+00	2.29627000e+00	1.60011021e-01
1.53334700e+00	2.15867200e+00	1.56792754e-01
1.54332600e+00	2.23503500e+00	9.37662510e+00
1.55330500e+00	2.28866700e+00	9.15353020e+00
1.56328300e+00	1.99122700e+00	1.56954587e-01
1.57326200e+00	2.19611900e+00	1.57752878e-01
1.58324100e+00	2.00318100e+00	1.53757130e-01
1.59322000e+00	1.88522700e+00	1.55040163e-01
1.60319900e+00	2.18393500e+00	1.55446283e-01
1.61317800e+00	2.02004200e+00	1.52645087e-01
1.62315700e+00	1.45862100e+00	1.50253278e-01
1.63313500e+00	1.56722800e+00	1.44723903e-01
1.64311400e+00	1.39372500e+00	1.49872120e-01
1.65309300e+00	1.58436800e+00	1.46751167e-01
1.66307200e+00	1.55400000e+00	1.44926420e-01
1.67305100e+00	1.34493900e+00	1.45624451e-01
1.68303000e+00	1.35909300e+00	1.46493503e-01
1.69300900e+00	1.34959600e+00	1.44867396e-01
1.70298700e+00	1.34103300e+00	1.42319290e-01
1.71296600e+00	1.20661700e+00	1.44981962e-01
1.72294500e+00	1.03653500e+00	1.43870046e-01
1.73292400e+00	1.08874800e+00	1.38985914e-01
1.74290300e+00	1.06760600e+00	1.38016571e-01
1.75288200e+00	1.15699400e+00	1.38454026e-01
1.76286100e+00	1.07103100e+00	1.40542641e-01
1.77283900e+00	9.13902000e-01	1.36642800e-01
1.78281800e+00	1.18085100e+00	1.40324075e-01
1.79279700e+00	1.02295600e+00	1.39647700e-01
1.80277600e+00	7.93815000e-01	1.37165361e-01
1.81275500e+00	4.82626000e-01	1.33040396e-01
1.82273400e+00	6.92946000e-01	1.30855609e-01
1.83271200e+00	7.15196000e-01	8.50085709e+00
1.84269100e+00	5.04899000e-01	8.38360769e+00
1.85267000e+00	5.19918000e-01	8.40013491e+00
1.86264900e+00	3.10591000e-01	8.26975752e+00
1.87262800e+00	3.59694000e-01	1.28109342e-01
1.88260700e+00	3.24773000e-01	1.30601086e-01
1.89258600e+00	6.16839000e-01	1.30030030e-01
1.90256400e+00	4.48672000e-01	8.25711571e+00
1.91254300e+00	3.23099000e-01	8.34385703e+00
1.92252200e+00	2.36663000e-01	1.28869849e-01
1.93250100e+00	4.81450000e-01	1.27485350e-01
1.94248000e+00	1.03440000e-01	1.25489226e-01
1.95245900e+00	3.07192000e-01	1.24306097e-01
1.96243800e+00	1.40877000e-01	1.26023153e-01
1.97241600e+00	2.72178000e-01	1.24145997e-01
1.98239500e+00	3.76162000e-01	1.25010958e-01
1.99237400e+00	1.58200000e-01	1.24351063e-01
2.00235300e+00	-1.04422000e-01	1.21632105e-01
2.01233200e+00	-1.27303000e-01	1.22629342e-01
2.02231100e+00	2.41193000e-01	1.22150528e-01
2.03229000e+00	-3.93960000e-02	1.21127222e-01
2.04226800e+00	-6.41110000e-02	1.21761805e-01
2.05224700e+00	-6.82520000e-02	1.19642118e-01
2.06222600e+00	1.25523000e-01	1.21524660e-01
2.07220500e+00	-1.35690000e-01	1.18291136e-01
2.08218400e+00	3.89080000e-02	1.20623411e-01
2.09216300e+00	-6.80360000e-02	1.17219723e-01
2.10214200e+00	-2.31298000e-01	1.17352889e-01
2.11212000e+00	-1.71767000e-01	1.20315081e-01
2.12209900e+00	-3.10434000e-01	1.13440191e-01
2.13207800e+00	-2.96658000e-01	1.15962085e-01
2.14205700e+00	-2.73481000e-01	7.84927669e+00
2.15203600e+00	-2.70875000e-01	7.89428254e+00
2.16201500e+00	-1.83772000e-01	1.15742058e-01
2.17199400e+00	-3.79708000e-01	7.94667400e+00
2.18197200e+00	-1.32579000e-01	8.00365356e+00
2.19195100e+00	-3.55440000e-01	7.94835742e+00
2.20193000e+00	-1.65240000e-02	7.96111486e+00
2.21190900e+00	-2.59438000e-01	1.12509762e-01
2.22188800e+00	-2.79162000e-01	1.11754101e-01
2.23186700e+00	-4.44691000e-01	1.12576850e-01
2.24184500e+00	-1.52706000e-01	1.10808259e-01
2.25182400e+00	-3.21635000e-01	1.13621817e-01
2.26180300e+00	-4.62944000e-01	1.09584807e-01
2.27178200e+00	-3.47783000e-01	1.10069843e-01
2.28176100e+00	-4.52463000e-01	1.11545469e-01
2.29174000e+00	-5.26937000e-01	1.06503852e-01
2.30171900e+00	-5.01831000e-01	1.09096205e-01
2.31169700e+00	-4.42026000e-01	1.09722066e-01
2.32167600e+00	-5.05392000e-01	1.10778054e-01
2.33165500e+00	-4.43000000e-01	1.06775534e-01
2.34163400e+00	-4.50013000e-01	1.07259808e-01
2.35161300e+00	-5.49146000e-01	1.06451356e-01
2.36159200e+00	-5.16568000e-01	1.07681770e-01
2.37157100e+00	-5.32411000e-01	1.09819525e-01
2.38154900e+00	-4.30646000e-01	1.08058397e-01
2.39152800e+00	-5.36636000e-01	1.04596790e-01
2.40150700e+00	-7.84131000e-01	1.06723314e-01
2.41148600e+00	-4.25357000e-01	1.06216659e-01
2.42146500e+00	-3.57943000e-01	1.05790741e-01
2.43144400e+00	-3.20841000e-01	1.04623004e-01
2.44142300e+00	-4.82986000e-01	1.04773589e-01
2.45140100e+00	-5.43800000e-01	1.06112625e-01
2.46138000e+00	-5.17893000e-01	1.04855248e-01
2.47135900e+00	-3.99235000e-01	1.06088577e-01
2.48133800e+00	-5.57302000e-01	1.04308469e-01
2.49131700e+00	-3.20445000e-01	5.84006179e+00
2.50129600e+00	-5.19075000e-01	5.82704320e+00
2.51127500e+00	-5.93082000e-01	1.03662052e-01
2.52125300e+00	-5.55796000e-01	7.85514805e+00
2.53123200e+00	-5.03143000e-01	7.87373941e+00
2.54121100e+00	-6.27523000e-01	1.03833155e-01
2.55119000e+00	-5.15046000e-01	1.04007230e-01
2.56116900e+00	-5.42455000e-01	1.00942443e-01
2.57114800e+00	-3.92407000e-01	1.05237655e-01
2.58112700e+00	-3.66565000e-01	1.03818957e-01
2.59110500e+00	-5.55656000e-01	1.01115685e-01
2.60108400e+00	-5.93240000e-01	1.03953727e-01
2.61106300e+00	-6.86441000e-01	1.02318854e-01
2.62104200e+00	-3.63348000e-01	1.02517074e-01
2.63102100e+00	-5.73637000e-01	1.01308958e-01
2.64100000e+00	-3.40978000e-01	1.02193062e-01
2.65097800e+00	-6.41241000e-01	1.01500556e-01
2.66095700e+00	-4.46431000e-01	9.99622365e-02
2.67093600e+00	-4.33392000e-01	1.02080498e-01
2.68091500e+00	-5.11291000e-01	9.87227315e-02
2.69089400e+00	-5.19316000e-01	1.07247911e-01
2.70087300e+00	-3.69872000e-01	9.99308619e-02
2.71085200e+00	-5.98536000e-01	7.77112432e+00
2.72083000e+00	-6.07501000e-01	7.71487864e+00
2.73080900e+00	-4.84856000e-01	7.86381532e+00
2.74078800e+00	-4.88717000e-01	1.02671315e-01
2.75076700e+00	-5.86267000e-01	7.78790777e+00
2.76074600e+00	-5.49731000e-01	7.71134280e+00
2.77072500e+00	-3.13834000e-01	1.00566499e-01
2.78070400e+00	-6.15756000e-01	9.78387299e-02
2.79068200e+00	-6.71344000e-01	1.01323751e-01
2.80066100e+00	-4.93790000e-01	9.84603557e-02
2.81064000e+00	-6.50413000e-01	9.98032445e-02
2.82061900e+00	-4.80894000e-01	9.87232205e-02
2.83059800e+00	-6.53866000e-01	9.67256391e-02
2.84057700e+00	-6.28151000e-01	9.93148657e-02
2.85055600e+00	-5.51183000e-01	9.86904829e-02
2.86053400e+00	-6.34964000e-01	9.76784301e-02
2.87051300e+00	-5.73619000e-01	7.88069780e+00
2.88049200e+00	-6.48791000e-01	7.61774100e+00
2.89047100e+00	-5.71707000e-01	7.62861737e+00
2.90045000e+00	-6.47447000e-01	7.74028532e+00
2.91042900e+00	-6.15857000e-01	7.74621022e+00
2.92040800e+00	-5.11332000e-01	9.43390228e-02
2.93038600e+00	-4.65908000e-01	9.66091399e-02
2.94036500e+00	-7.58878000e-01	9.67731614e-02
2.95034400e+00	-4.91954000e-01	9.60866497e-02
2.96032300e+00	-5.21521000e-01	9.69267237e-02
2.97030200e+00	-3.02059000e-01	9.45862100e-02
2.98028100e+00	-7.47154000e-01	9.58852529e-02
2.99026000e+00	-3.98907000e-01	9.64748179e-02
3.00023800e+00	-6.22410000e-01	9.40818557e-02
3.01021700e+00	-5.33459000e-01	9.47471214e-02
3.02019600e+00	-5.88986000e-01	9.66487436e-02
3.03017500e+00	-5.15022000e-01	9.50228090e-02
3.04015400e+00	-6.00910000e-01	7.74049321e+00
3.05013300e+00	-3.40105000e-01	7.63093971e+00
3.06011100e+00	-4.76611000e-01	5.80390171e+00
3.07009000e+00	-5.19941000e-01	7.83373490e+00
3.08006900e+00	-5.02843000e-01	7.72116922e+00
3.09004800e+00	-5.01849000e-01	9.45626796e-02
3.10002700e+00	-7.02293000e-01	9.33018484e-02
3.11000600e+00	-7.10197000e-01	9.45807012e-02
3.11998500e+00	-5.71245000e-01	9.45490449e-02
3.12996300e+00	-5.23189000e-01	9.37291211e-02
3.13994200e+00	-4.82570000e-01	9.40907359e-02
3.14992100e+00	-6.63910000e-01	9.29100165e-02
3.15990000e+00	-4.82479000e-01	9.60502971e-02
3.16987900e+00	-7.27918000e-01	7.76799866e+00
3.17985800e+00	-5.46203000e-01	7.67772238e+00
3.18983700e+00	-5.03307000e-01	9.30560949e-02
3.19981500e+00	-6.73278000e-01	9.14739825e-02
3.20979400e+00	-5.08634000e-01	9.28006425e-02
3.21977300e+00	-7.08083000e-01	9.07929494e-02
3.22975200e+00	-5.33668000e-01	9.37590047e-02
3.23973100e+00	-4.83046000e-01	9.12137068e-02
3.24971000e+00	-4.51397000e-01	9.22372392e-02
3.25968900e+00	-5.69557000e-01	9.30713133e-02
3.26966700e+00	-5.49646000e-01	9.15358201e-02
3.27964600e+00	-3.74115000e-01	9.36304158e-02
3.28962500e+00	-6.37788000e-01	9.15539144e-02
3.29960400e+00	-5.59661000e-01	9.23432318e-02
3.30958300e+00	-4.36422000e-01	9.34260933e-02
3.31956200e+00	-5.17802000e-01	9.22937800e-02
3.32954100e+00	-5.59265000e-01	8.98200456e-02
3.33951900e+00	-4.00486000e-01	9.07254517e-02
3.34949800e+00	-5.56294000e-01	9.07258665e-02
3.35947700e+00	-6.17138000e-01	7.68276713e+00
3.36945600e+00	-6.86512000e-01	7.72040275e+00
3.37943500e+00	-5.33176000e-01	7.64623136e+00
3.38941400e+00	-5.06784000e-01	7.67864731e+00
3.39939200e+00	-4.96065000e-01	9.03442461e-02
3.40937100e+00	-6.29372000e-01	9.10491931e-02
3.41935000e+00	-4.50535000e-01	7.68207772e+00
3.42932900e+00	-6.80873000e-01	7.72561455e+00
3.43930800e+00	-4.94333000e-01	7.72881308e+00
3.44928700e+00	-5.13572000e-01	9.04624802e-02
3.45926600e+00	-5.46583000e-01	8.97241338e-02
3.46924400e+00	-3.56828000e-01	8.93699502e-02
3.47922300e+00	-5.07524000e-01	7.83083713e+00
3.48920200e+00	-5.10214000e-01	7.80027649e+00
3.49918100e+00	-4.99279000e-01	7.82069235e+00
3.50916000e+00	-5.47565000e-01	7.69237920e+00
3.51913900e+00	-5.86983000e-01	8.94558518e-02
3.52911800e+00	-6.76051000e-01	8.75436377e-02
3.53909600e+00	-3.82202000e-01	8.89781870e-02
3.54907500e+00	-5.65599000e-01	8.91573132e-02
3.55905400e+00	-4.00290000e-01	8.73367016e-02
3.56903300e+00	-4.13448000e-01	8.90918498e-02
3.57901200e+00	-4.59958000e-01	8.85231435e-02
3.58899100e+00	-5.48618000e-01	8.90764039e-02
3.59897000e+00	-5.18152000e-01	8.78319192e-02
3.60894800e+00	-4.09599000e-01	8.81413824e-02
3.61892700e+00	-5.11092000e-01	8.89847897e-02
3.62890600e+00	-4.09694000e-01	8.65626223e-02
3.63888500e+00	-5.49265000e-01	8.89181745e-02
3.64886400e+00	-3.93325000e-01	8.85287367e-02
3.65884300e+00	-5.68744000e-01	8.80837933e-02
3.66882200e+00	-4.88375000e-01	7.69121915e+00
3.67880000e+00	-5.08110000e-01	7.71301366e+00
3.68877900e+00	-4.72374000e-01	8.70494599e-02
3.69875800e+00	-5.67460000e-01	8.64795853e-02
3.70873700e+00	-5.60321000e-01	8.70716280e-02
3.71871600e+00	-4.66927000e-01	8.71255796e-02
3.72869500e+00	-5.52212000e-01	8.66041562e-02
3.73867400e+00	-5.87977000e-01	8.74742961e-02
3.74865200e+00	-5.75407000e-01	8.70303868e-02
3.75863100e+00	-6.19053000e-01	7.71918546e+00
3.76861000e+00	-5.76954000e-01	7.79105859e+00
3.77858900e+00	-6.13663000e-01	7.71705398e+00
3.78856800e+00	-5.29732000e-01	8.74157680e-02
3.79854700e+00	-5.29409000e-01	8.49625975e-02
3.80852500e+00	-6.41976000e-01	7.77614068e+00
3.81850400e+00	-5.77098000e-01	7.78109945e+00
3.82848300e+00	-5.83086000e-01	8.60599298e-02
3.83846200e+00	-5.37975000e-01	7.71725655e+00
3.84844100e+00	-6.68812000e-01	7.69639028e+00
3.85842000e+00	-4.70723000e-01	8.60926045e-02
3.86839900e+00	-4.47984000e-01	8.54239163e-02
3.87837700e+00	-7.14022000e-01	8.74539567e-02
3.88835600e+00	-5.81724000e-01	8.56573086e-02
3.89833500e+00	-7.56494000e-01	8.41202756e-02
3.90831400e+00	-7.11795000e-01	8.54017300e-02
3.91829300e+00	-5.96364000e-01	8.51488953e-02
3.92827200e+00	-5.64927000e-01	8.54321815e-02
3.93825100e+00	-5.72422000e-01	8.38634951e-02
3.94822900e+00	-5.90469000e-01	8.36378591e-02
3.95820800e+00	-6.71129000e-01	8.50823894e-02
3.96818700e+00	-6.48119000e-01	8.37187303e-02
3.97816600e+00	-5.82082000e-01	8.43977984e-02
3.98814500e+00	-7.43418000e-01	7.69975827e+00
3.99812400e+00	-6.07725000e-01	7.81074606e+00
4.00810300e+00	-4.19068000e-01	8.43192186e-02
4.01808100e+00	-7.22144000e-01	8.31070241e-02
4.02806000e+00	-5.22308000e-01	8.29852453e-02
4.03803900e+00	-5.10057000e-01	8.32563242e-02
4.04801800e+00	-6.05313000e-01	8.34510495e-02
4.05799700e+00	-5.13419000e-01	7.78195833e+00
4.06797600e+00	-5.32484000e-01	7.77318647e+00
4.07795500e+00	-6.15709000e-01	7.77051595e+00
4.08793300e+00	-6.86852000e-01	7.76059191e+00
4.09791200e+00	-5.44822000e-01	8.46842004e-02
