q[nm-1]	I(q)[sr-1]_mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)	error
1.38366400e+00	1.05105555e+01	2.29785300e-01
1.39364300e+00	1.06655640e+01	2.23885350e-01
1.40362200e+00	1.05536340e+01	2.28858300e-01
1.41360100e+00	1.04136300e+01	1.15115025e+01
1.42357900e+00	9.76804650e+00	1.11489720e+01
1.43355800e+00	9.98945850e+00	2.18117700e-01
1.44353700e+00	9.98247300e+00	2.20569900e-01
1.45351600e+00	1.01379150e+01	2.17981800e-01
1.46349500e+00	9.95594850e+00	2.15746350e-01
1.47347400e+00	9.48033600e+00	2.10614700e-01
1.48345300e+00	9.55293000e+00	2.06445900e-01
1.49343100e+00	9.43211400e+00	2.09195850e-01
1.50341000e+00	9.48641700e+00	2.08934400e-01
1.51338900e+00	9.04490700e+00	2.10882750e-01
1.52336800e+00	8.89360200e+00	1.99181850e-01
1.53334700e+00	8.96215200e+00	1.95275100e-01
1.54332600e+00	9.07178100e+00	1.07442780e+01
1.55330500e+00	8.77164300e+00	1.05650475e+01
1.56328300e+00	8.68066950e+00	1.94273850e-01
1.57326200e+00	8.70234150e+00	1.97100600e-01
1.58324100e+00	8.53078350e+00	1.92149850e-01
1.59322000e+00	8.45547900e+00	1.91221800e-01
1.60319900e+00	8.67761250e+00	1.94522250e-01
1.61317800e+00	8.51839800e+00	1.89604200e-01
1.62315700e+00	7.80790950e+00	1.80834750e-01
1.63313500e+00	7.76085750e+00	1.76346600e-01
1.64311400e+00	7.69134000e+00	1.82122050e-01
1.65309300e+00	7.83311250e+00	1.78992000e-01
1.66307200e+00	7.66056600e+00	1.77485550e-01
1.67305100e+00	7.54614600e+00	1.77375750e-01
1.68303000e+00	7.58196600e+00	1.78136100e-01
1.69300900e+00	7.46369100e+00	1.75143450e-01
1.70298700e+00	7.32571050e+00	1.74198000e-01
1.71296600e+00	7.39051800e+00	1.76174250e-01
1.72294500e+00	7.19174700e+00	1.73549400e-01
1.73292400e+00	7.02911550e+00	1.67100000e-01
1.74290300e+00	7.02344700e+00	1.64630700e-01
1.75288200e+00	7.24658100e+00	1.67226750e-01
1.76286100e+00	7.09756350e+00	1.68756450e-01
1.77283900e+00	6.79334850e+00	1.61033700e-01
1.78281800e+00	7.11003600e+00	1.69307550e-01
1.79279700e+00	7.00384200e+00	1.67301300e-01
1.80277600e+00	6.72167550e+00	1.62566700e-01
1.81275500e+00	6.20985900e+00	1.55954700e-01
1.82273400e+00	6.41098200e+00	1.55648700e-01
1.83271200e+00	6.56286450e+00	9.13855800e+00
1.84269100e+00	6.23119200e+00	8.90464350e+00
1.85267000e+00	6.26615850e+00	8.92959300e+00
1.86264900e+00	5.91919650e+00	8.67885300e+00
1.87262800e+00	5.95732650e+00	1.48766670e-01
1.88260700e+00	5.93839050e+00	1.52856900e-01
1.89258600e+00	6.16649400e+00	1.53007050e-01
1.90256400e+00	6.01183950e+00	8.74650750e+00
1.91254300e+00	6.03125550e+00	8.76061950e+00
1.92252200e+00	5.96930700e+00	1.49989305e-01
1.93250100e+00	6.02457900e+00	1.51580700e-01
1.94248000e+00	5.57003100e+00	1.45682340e-01
1.95245900e+00	5.87368650e+00	1.46215050e-01
1.96243800e+00	5.76525900e+00	1.46437245e-01
1.97241600e+00	5.59905300e+00	1.45838415e-01
1.98239500e+00	5.95301700e+00	1.46448480e-01
1.99237400e+00	5.66167800e+00	1.44930870e-01
2.00235300e+00	5.43339750e+00	1.38432420e-01
2.01233200e+00	5.33878350e+00	1.39731555e-01
2.02231100e+00	5.63966250e+00	1.43678910e-01
2.03229000e+00	5.46484200e+00	1.37690475e-01
2.04226800e+00	5.37596700e+00	1.38903210e-01
2.05224700e+00	5.43567000e+00	1.36198320e-01
2.06222600e+00	5.44805400e+00	1.41229155e-01
2.07220500e+00	5.39780250e+00	1.34013675e-01
2.08218400e+00	5.46105300e+00	1.39342035e-01
2.09216300e+00	5.25648150e+00	1.32917040e-01
2.10214200e+00	5.14552650e+00	1.30866090e-01
2.11212000e+00	5.28634950e+00	1.36977975e-01
2.12209900e+00	5.02608600e+00	1.27146975e-01
2.13207800e+00	5.13098700e+00	1.31311860e-01
2.14205700e+00	4.89191250e+00	7.88987850e+00
2.15203600e+00	4.95275100e+00	7.93878900e+00
