q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350_mult.dat_00001_[mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)]-Lyso_Buffer_000_350.dat_00001_[])	error
1.36370600e+00	7.20137700e+00	2.47617369e-01
1.37368500e+00	7.79195400e+00	2.59543752e-01
1.38366400e+00	6.83311250e+00	2.47627260e-01
1.39364300e+00	7.04129600e+00	2.41221224e-01
1.40362200e+00	6.64241600e+00	2.48266811e-01
1.41360100e+00	6.66862500e+00	1.29799123e+01
1.42357900e+00	6.14632950e+00	1.26126551e+01
1.43355800e+00	6.15903250e+00	2.36578090e-01
1.44353700e+00	6.30176300e+00	2.38077313e-01
1.45351600e+00	6.35904000e+00	2.36800448e-01
1.46349500e+00	6.12574550e+00	2.34504441e-01
1.47347400e+00	5.82765500e+00	2.29056887e-01
1.48345300e+00	5.85233000e+00	2.25105472e-01
1.49343100e+00	5.64903200e+00	2.29030723e-01
1.50341000e+00	5.75223900e+00	2.27378762e-01
1.51338900e+00	5.20110100e+00	2.29353639e-01
1.52336800e+00	5.26080400e+00	2.18275766e-01
1.53334700e+00	5.14605600e+00	2.13936006e-01
1.54332600e+00	5.25896200e+00	1.23310243e+01
1.55330500e+00	5.21254800e+00	1.20746989e+01
1.56328300e+00	4.88478350e+00	2.13547893e-01
1.57326200e+00	5.09689950e+00	2.15565656e-01
1.58324100e+00	4.84677550e+00	2.10126713e-01
1.59322000e+00	4.70372000e+00	2.10598605e-01
1.60319900e+00	5.07647250e+00	2.12568016e-01
1.61317800e+00	4.85950800e+00	2.08020690e-01
1.62315700e+00	4.06125750e+00	2.01849906e-01
1.63313500e+00	4.15418050e+00	1.95503819e-01
1.64311400e+00	3.95750500e+00	2.02209209e-01
1.65309300e+00	4.19540550e+00	1.98330204e-01
1.66307200e+00	4.10752200e+00	1.96225099e-01
1.67305100e+00	3.86032100e+00	1.96686189e-01
1.68303000e+00	3.88641500e+00	1.97710638e-01
1.69300900e+00	3.83749300e+00	1.95008604e-01
1.70298700e+00	3.78293650e+00	1.92647560e-01
1.71296600e+00	3.67012300e+00	1.95608667e-01
1.72294500e+00	3.43378400e+00	1.93472445e-01
1.73292400e+00	3.43178650e+00	1.86626724e-01
1.74290300e+00	3.40875500e+00	1.84677948e-01
1.75288200e+00	3.57252100e+00	1.86294148e-01
1.76286100e+00	3.43688550e+00	1.88610063e-01
1.77283900e+00	3.17835150e+00	1.81873141e-01
1.78281800e+00	3.55086300e+00	1.88721678e-01
1.79279700e+00	3.35757000e+00	1.87219997e-01
1.80277600e+00	3.03437350e+00	1.83020547e-01
1.81275500e+00	2.55257900e+00	1.76668888e-01
1.82273400e+00	2.82994000e+00	1.74878149e-01
1.83271200e+00	2.90281750e+00	1.08931546e+01
1.84269100e+00	2.58196300e+00	1.06928184e+01
1.85267000e+00	2.60863750e+00	1.07173201e+01
1.86264900e+00	2.28365650e+00	1.04992722e+01
1.87262800e+00	2.34546950e+00	1.69432268e-01
1.88260700e+00	2.30423650e+00	1.73312804e-01
1.89258600e+00	2.67233700e+00	1.72956663e-01
1.90256400e+00	2.45261850e+00	1.05204912e+01
1.91254300e+00	2.33351750e+00	1.05951866e+01
1.92252200e+00	2.22643200e+00	1.70603797e-01
1.93250100e+00	2.48964300e+00	1.70344805e-01
1.94248000e+00	1.96011700e+00	1.65946656e-01
1.95245900e+00	2.26508750e+00	1.65315274e-01
1.96243800e+00	2.06263000e+00	1.66718608e-01
1.97241600e+00	2.13852900e+00	1.65009856e-01
1.98239500e+00	2.36050100e+00	1.65960318e-01
1.99237400e+00	2.04542600e+00	1.64719785e-01
2.00235300e+00	1.70671050e+00	1.59501653e-01
2.01233200e+00	1.65229150e+00	1.60888552e-01
2.02231100e+00	2.12108050e+00	1.62448252e-01
2.03229000e+00	1.78221800e+00	1.58758926e-01
2.04226800e+00	1.72787800e+00	1.59827665e-01
2.05224700e+00	1.74363800e+00	1.56906922e-01
2.06222600e+00	1.94154100e+00	1.60776780e-01
2.07220500e+00	1.66357750e+00	1.54823721e-01
2.08218400e+00	1.85925900e+00	1.59175333e-01
2.09216300e+00	1.68412450e+00	1.53477783e-01
2.10214200e+00	1.48387750e+00	1.52597864e-01
2.11212000e+00	1.59034950e+00	1.57796035e-01
2.12209900e+00	1.36492800e+00	1.47817402e-01
2.13207800e+00	1.41367100e+00	1.51744986e-01
2.14205700e+00	1.35715650e+00	9.80788354e+00
2.15203600e+00	1.38004200e+00	9.86576080e+00
2.16201500e+00	1.54130250e+00	1.52658463e-01
2.17199400e+00	1.26526000e+00	9.90136361e+00
2.18197200e+00	1.60312100e+00	1.00434119e+01
2.19195100e+00	1.29671050e+00	9.91040236e+00
2.20193000e+00	1.73121150e+00	1.00222879e+01
2.21190900e+00	1.39642750e+00	1.46866911e-01
2.22188800e+00	1.38518250e+00	1.45754462e-01
2.23186700e+00	1.17447300e+00	1.46702550e-01
2.24184500e+00	1.52026200e+00	1.45460528e-01
2.25182400e+00	1.30945450e+00	1.48903442e-01
2.26180300e+00	1.09701400e+00	1.42575099e-01
2.27178200e+00	1.26385300e+00	1.43723586e-01
2.28176100e+00	1.14612700e+00	1.45724186e-01
2.29174000e+00	9.90430000e-01	1.37588074e-01
2.30171900e+00	1.06944500e+00	1.41601053e-01
2.31169700e+00	1.13916500e+00	1.42665310e-01
2.32167600e+00	1.07402350e+00	1.43461766e-01
2.33165500e+00	1.11824250e+00	1.38415275e-01
2.34163400e+00	1.13308000e+00	1.39698949e-01
2.35161300e+00	9.76408000e-01	1.37771279e-01
2.36159200e+00	1.01956200e+00	1.39806347e-01
2.37157100e+00	1.03375800e+00	1.42865136e-01
2.38154900e+00	1.16519250e+00	1.39929458e-01
2.39152800e+00	1.01069100e+00	1.35714229e-01
2.40150700e+00	6.83520500e-01	1.36959241e-01
2.41148600e+00	1.16757200e+00	1.38330248e-01
2.42146500e+00	1.19617850e+00	1.38444509e-01
2.43144400e+00	1.23966350e+00	1.36392535e-01
2.44142300e+00	1.03865800e+00	1.36331252e-01
2.45140100e+00	9.51478000e-01	1.37405838e-01
2.46138000e+00	1.02526200e+00	1.35804470e-01
2.47135900e+00	1.15304950e+00	1.38077302e-01
2.48133800e+00	9.21094000e-01	1.35062003e-01
2.49131700e+00	1.29479700e+00	5.84076895e+00
2.50129600e+00	9.88978000e-01	5.82768089e+00
2.51127500e+00	9.22647500e-01	1.34421570e-01
2.52125300e+00	1.00244250e+00	9.73402826e+00
2.53123200e+00	1.07715750e+00	9.77300532e+00
2.54121100e+00	8.68519000e-01	1.34695334e-01
2.55119000e+00	1.02827550e+00	1.34116516e-01
2.56116900e+00	9.54174000e-01	1.30159166e-01
2.57114800e+00	1.18942650e+00	1.37143721e-01
2.58112700e+00	1.21656050e+00	1.34763638e-01
2.59110500e+00	9.32961000e-01	1.30383464e-01
2.60108400e+00	9.19476500e-01	1.35008054e-01
2.61106300e+00	8.24317000e-01	1.32107650e-01
2.62104200e+00	1.17102700e+00	1.33668635e-01
2.63102100e+00	9.12619500e-01	1.31531890e-01
2.64100000e+00	1.22598050e+00	1.34063934e-01
2.65097800e+00	8.58671000e-01	1.31085829e-01
2.66095700e+00	1.07725300e+00	1.29477565e-01
2.67093600e+00	1.11309300e+00	1.32495867e-01
2.68091500e+00	9.68543000e-01	1.27885142e-01
2.69089400e+00	9.79543500e-01	1.38211750e-01
2.70087300e+00	1.16483000e+00	1.30014929e-01
2.71085200e+00	9.12059000e-01	9.61394225e+00
2.72083000e+00	8.76634500e-01	9.53916654e+00
2.73080900e+00	1.09598200e+00	9.76559495e+00
2.74078800e+00	1.07521350e+00	1.34105486e-01
2.75076700e+00	9.34804000e-01	9.63904542e+00
2.76074600e+00	9.48233500e-01	9.55167198e+00
2.77072500e+00	1.26243350e+00	1.30341744e-01
2.78070400e+00	8.80648500e-01	1.26450892e-01
2.79068200e+00	8.46552500e-01	1.31433386e-01
2.80066100e+00	1.00589300e+00	1.27814800e-01
2.81064000e+00	8.69422500e-01	1.28938452e-01
2.82061900e+00	9.96544500e-01	1.28440760e-01
2.83059800e+00	8.43461000e-01	1.24717163e-01
2.84057700e+00	8.64859000e-01	1.28503718e-01
2.85055600e+00	9.88111500e-01	1.27840362e-01
2.86053400e+00	8.79501500e-01	1.26329365e-01
