q[nm-1]	I(q)[sr-1]_mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)	error
1.36370600e+00	2.65924260e+00	3.27449780e-02
1.37368500e+00	2.60267770e+00	3.28544790e-02
1.38366400e+00	2.59280000e+00	3.26664870e-02
1.39364300e+00	2.52604800e+00	3.15383880e-02
1.40362200e+00	2.62835930e+00	3.27240060e-02
1.41360100e+00	2.62942470e+00	4.05319600e+00
1.42357900e+00	2.59674870e+00	4.02793230e+00
1.43355800e+00	2.58652380e+00	3.18549910e-02
1.44353700e+00	2.56858350e+00	3.17462810e-02
1.45351600e+00	2.56628190e+00	3.16694700e-02
1.46349500e+00	2.61724190e+00	3.14214740e-02
1.47347400e+00	2.57054420e+00	3.17570680e-02
1.48345300e+00	2.56350080e+00	3.11327100e-02
1.49343100e+00	2.57961900e+00	3.18040660e-02
1.50341000e+00	2.57773110e+00	3.14230840e-02
1.51338900e+00	2.62089870e+00	3.14012440e-02
1.52336800e+00	2.53997590e+00	3.13989410e-02
1.53334700e+00	2.57703810e+00	3.05248300e-02
1.54332600e+00	2.52379540e+00	3.97094880e+00
1.55330500e+00	2.54110640e+00	3.98454420e+00
1.56328300e+00	2.62368330e+00	3.09588090e-02
1.57326200e+00	2.57754070e+00	3.14064520e-02
1.58324100e+00	2.59747950e+00	3.05559520e-02
1.59322000e+00	2.58470520e+00	3.04932460e-02
1.60319900e+00	2.58841800e+00	3.04537170e-02
1.61317800e+00	2.56393130e+00	3.01501060e-02
1.62315700e+00	2.54548210e+00	3.01365190e-02
1.63313500e+00	2.55234350e+00	2.98469710e-02
1.64311400e+00	2.57779270e+00	3.01336280e-02
1.65309300e+00	2.54881480e+00	2.97108770e-02
1.66307200e+00	2.53740760e+00	2.97265920e-02
1.67305100e+00	2.49292470e+00	2.93020490e-02
1.68303000e+00	2.59610680e+00	2.95398670e-02
1.69300900e+00	2.52335440e+00	2.96887290e-02
1.70298700e+00	2.55451910e+00	2.91847990e-02
1.71296600e+00	2.55818150e+00	2.95223530e-02
1.72294500e+00	2.53040200e+00	2.91058740e-02
1.73292400e+00	2.51833540e+00	2.86959890e-02
1.74290300e+00	2.57507740e+00	2.93879740e-02
1.75288200e+00	2.55301200e+00	2.88667120e-02
1.76286100e+00	2.50482680e+00	2.88949010e-02
1.77283900e+00	2.53977500e+00	2.85430740e-02
1.78281800e+00	2.58574750e+00	2.92561360e-02
1.79279700e+00	2.48304070e+00	2.87649040e-02
1.80277600e+00	2.54004800e+00	2.85829530e-02
1.81275500e+00	2.54401910e+00	2.86874420e-02
1.82273400e+00	2.56192650e+00	2.85433330e-02
1.83271200e+00	2.54287180e+00	3.98592810e+00
1.84269100e+00	2.52066220e+00	3.96848340e+00
1.85267000e+00	2.53671250e+00	3.98109810e+00
1.86264900e+00	2.56073020e+00	3.99990010e+00
1.87262800e+00	2.50071150e+00	2.78588730e-02
1.88260700e+00	2.53433950e+00	2.82880920e-02
1.89258600e+00	2.54415000e+00	2.85487440e-02
1.90256400e+00	2.54243780e+00	3.98558790e+00
1.91254300e+00	2.51333390e+00	3.96271050e+00
1.92252200e+00	2.53103900e+00	2.77360930e-02
1.93250100e+00	2.51336890e+00	2.76176110e-02
1.94248000e+00	2.48850560e+00	2.77624410e-02
1.95245900e+00	2.52534240e+00	2.70860170e-02
1.96243800e+00	2.60329370e+00	2.82696400e-02
1.97241600e+00	2.55122840e+00	2.74428840e-02
1.98239500e+00	2.52639240e+00	2.74463630e-02
1.99237400e+00	2.50273730e+00	2.74819790e-02
2.00235300e+00	2.50350730e+00	2.72538490e-02
2.01233200e+00	2.48854270e+00	2.73473270e-02
2.02231100e+00	2.51549130e+00	2.65892690e-02
2.03229000e+00	2.48631040e+00	2.69621170e-02
2.04226800e+00	2.50147310e+00	2.69270960e-02
2.05224700e+00	2.49487700e+00	2.67549030e-02
2.06222600e+00	2.48233860e+00	2.68598260e-02
2.07220500e+00	2.49010720e+00	2.66053060e-02
2.08218400e+00	2.53292690e+00	2.68032660e-02
2.09216300e+00	2.52271250e+00	2.73817950e-02
2.10214200e+00	2.50682320e+00	2.66259840e-02
2.11212000e+00	2.48845310e+00	2.66325640e-02
2.12209900e+00	2.49998840e+00	2.62678920e-02
2.13207800e+00	2.49441640e+00	2.62712380e-02
2.14205700e+00	2.49888240e+00	3.95130120e+00
2.15203600e+00	2.49011910e+00	3.94436700e+00
2.16201500e+00	2.49609570e+00	2.61007600e-02
2.17199400e+00	2.57128480e+00	4.00813490e+00
2.18197200e+00	2.51202490e+00	3.96167800e+00
2.19195100e+00	2.54125200e+00	3.98465830e+00
2.20193000e+00	2.54182810e+00	3.98511050e+00
2.21190900e+00	2.53599430e+00	2.59703710e-02
2.22188800e+00	2.53409310e+00	2.59440370e-02
2.23186700e+00	2.50881120e+00	2.58282640e-02
2.24184500e+00	2.49598650e+00	2.58339760e-02
2.25182400e+00	2.48896410e+00	2.58552070e-02
2.26180300e+00	2.47273320e+00	2.52528780e-02
2.27178200e+00	2.51090630e+00	2.52754040e-02
2.28176100e+00	2.45761530e+00	2.55979500e-02
2.29174000e+00	2.49040960e+00	2.52780500e-02
2.30171900e+00	2.47277380e+00	2.51808130e-02
2.31169700e+00	2.48292380e+00	2.51918030e-02
2.32167600e+00	2.47919210e+00	2.51065710e-02
2.33165500e+00	2.49529630e+00	2.49159260e-02
2.34163400e+00	2.50619670e+00	2.46492330e-02
2.35161300e+00	2.50812800e+00	2.49987010e-02
2.36159200e+00	2.50195960e+00	2.51291460e-02
2.37157100e+00	2.49585630e+00	2.51671840e-02
2.38154900e+00	2.50835060e+00	2.53047060e-02
2.39152800e+00	2.50771780e+00	2.45779380e-02
2.40150700e+00	2.46386350e+00	2.48753750e-02
2.41148600e+00	2.50165930e+00	2.48479420e-02
2.42146500e+00	2.51123880e+00	2.46492470e-02
2.43144400e+00	2.50040070e+00	2.49354770e-02
2.44142300e+00	2.49867380e+00	2.45175000e-02
2.45140100e+00	2.51863990e+00	2.51892410e-02
2.46138000e+00	2.50520270e+00	2.50242930e-02
2.47135900e+00	2.50433190e+00	2.48242470e-02
2.48133800e+00	2.50062400e+00	2.44230630e-02
2.49131700e+00	2.49344970e+00	2.43253220e-02
2.50129600e+00	2.51855800e+00	2.47124780e-02
2.51127500e+00	2.53785350e+00	2.46132460e-02
2.52125300e+00	2.50542950e+00	3.95647420e+00
2.53123200e+00	2.48641120e+00	3.94142910e+00
2.54121100e+00	2.51661690e+00	2.43239500e-02
2.55119000e+00	2.51202980e+00	2.45245280e-02
2.56116900e+00	2.52881510e+00	2.41680880e-02
2.57114800e+00	2.45698810e+00	2.39574510e-02
2.58112700e+00	2.52633710e+00	2.44029800e-02
2.59110500e+00	2.46178170e+00	2.37323590e-02
2.60108400e+00	2.46312570e+00	2.38477470e-02
2.61106300e+00	2.48929940e+00	3.94371740e+00
2.62104200e+00	2.43800340e+00	3.90287310e+00
2.63102100e+00	2.53895320e+00	3.98285580e+00
2.64100000e+00	2.46135890e+00	2.37774250e-02
2.65097800e+00	2.48389540e+00	2.37866300e-02
2.66095700e+00	2.52232820e+00	2.40225300e-02
2.67093600e+00	2.51896470e+00	2.39763300e-02
2.68091500e+00	2.47822470e+00	2.38545650e-02
2.69089400e+00	2.50232430e+00	3.00450780e-02
2.70087300e+00	2.49152400e+00	2.36093760e-02
2.71085200e+00	2.46870680e+00	3.92737100e+00
2.72083000e+00	2.46240960e+00	3.92235970e+00
2.73080900e+00	2.43725230e+00	3.90227110e+00
2.74078800e+00	2.47483110e+00	2.38255360e-02
2.75076700e+00	2.46157730e+00	3.92169680e+00
2.76074600e+00	2.50988150e+00	3.95998820e+00
2.77072500e+00	2.47693530e+00	2.34230990e-02
2.78070400e+00	2.48928610e+00	2.31040460e-02
2.79068200e+00	2.50552680e+00	2.36298930e-02
2.80066100e+00	2.47541700e+00	2.30830110e-02
2.81064000e+00	2.48411730e+00	2.30003970e-02
2.82061900e+00	2.46203510e+00	2.32224790e-02
2.83059800e+00	2.46123850e+00	2.31337610e-02
2.84057700e+00	2.46350930e+00	2.30968920e-02
