q[nm-1]	I(q)[sr-1]_mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)	error
5.28539600e+00	2.72045270e+00	4.12275780e+00
5.29537500e+00	2.73482440e+00	4.13363370e+00
5.30535400e+00	2.69895430e+00	4.10643590e+00
5.31533200e+00	2.72083140e+00	4.12304480e+00
5.32531100e+00	2.73006650e+00	4.13003640e+00
5.33529000e+00	2.71192530e+00	4.11629120e+00
5.34526900e+00	2.70324810e+00	4.10970070e+00
5.35524800e+00	2.71655720e+00	4.11980520e+00
5.36522700e+00	2.70227020e+00	4.10895730e+00
5.37520500e+00	2.74089410e+00	4.13821800e+00
5.38518400e+00	2.73553980e+00	4.13417410e+00
5.39516300e+00	2.77574500e+00	4.16444420e+00
5.40514200e+00	2.73234640e+00	4.13175980e+00
5.41512100e+00	2.75729160e+00	4.15057790e+00
5.42510000e+00	2.74462790e+00	4.14103550e+00
5.43507900e+00	2.70858280e+00	4.11375370e+00
5.44505700e+00	2.72014120e+00	4.12252190e+00
5.45503600e+00	2.74561560e+00	4.14178100e+00
5.46501500e+00	2.76712450e+00	4.15797200e+00
5.47499400e+00	2.77708060e+00	4.16544520e+00
5.48497300e+00	2.75961910e+00	4.15232930e+00
5.49495200e+00	2.76563490e+00	4.15685270e+00
5.50493100e+00	2.76589810e+00	4.15705010e+00
5.51490900e+00	2.76722740e+00	4.15804970e+00
5.52488800e+00	2.76490760e+00	4.15630670e+00
5.53486700e+00	2.76351040e+00	4.15525600e+00
5.54484600e+00	2.81031590e+00	4.19029660e+00
5.55482500e+00	2.78989970e+00	4.17504850e+00
5.56480400e+00	2.76614870e+00	4.15723910e+00
5.57478300e+00	2.78543720e+00	4.17170810e+00
5.58476100e+00	2.78919900e+00	4.17452420e+00
5.59474000e+00	2.75664550e+00	4.15009140e+00
5.60471900e+00	2.77643310e+00	4.16496010e+00
5.61469800e+00	2.80692720e+00	4.18777030e+00
5.62467700e+00	2.83345720e+00	4.20751380e+00
5.63465600e+00	2.80260120e+00	4.18454120e+00
5.64463500e+00	2.80709240e+00	4.18789280e+00
5.65461300e+00	2.81463840e+00	4.19351800e+00
5.66459200e+00	2.82312800e+00	4.19983760e+00
5.67457100e+00	2.81840510e+00	4.19632290e+00
5.68455000e+00	2.82198000e+00	4.19898360e+00
5.69452900e+00	2.79323310e+00	4.17754190e+00
5.70450800e+00	2.79675900e+00	4.18017740e+00
5.71448700e+00	2.83064390e+00	4.20542430e+00
5.72446500e+00	2.81697080e+00	4.19525540e+00
5.73444400e+00	2.84632810e+00	4.21705970e+00
5.74442300e+00	2.82849700e+00	4.20382900e+00
5.75440200e+00	2.83431610e+00	4.20815150e+00
5.76438100e+00	2.83770130e+00	4.21066380e+00
5.77436000e+00	2.86371610e+00	4.22992010e+00
5.78433800e+00	2.85598250e+00	4.22420530e+00
5.79431700e+00	2.82791180e+00	4.20339430e+00
5.80429600e+00	2.88248240e+00	4.24375770e+00
5.81427500e+00	2.86279980e+00	4.22924390e+00
5.82425400e+00	2.83901870e+00	4.21164100e+00
5.83423300e+00	2.84130980e+00	4.21333990e+00
5.84421200e+00	2.84899300e+00	4.21903300e+00
5.85419000e+00	2.89594760e+00	4.25365850e+00
5.86416900e+00	2.84479090e+00	4.21592080e+00
5.87414800e+00	2.88724800e+00	4.24726400e+00
5.88412700e+00	2.87322420e+00	4.23693690e+00
5.89410600e+00	2.88042160e+00	4.24224010e+00
5.90408500e+00	2.91153520e+00	4.26509020e+00
5.91406400e+00	2.93097840e+00	4.27930790e+00
5.92404200e+00	2.87615020e+00	4.23909360e+00
5.93402100e+00	2.88453340e+00	4.24526690e+00
5.94400000e+00	2.89554650e+00	4.25336380e+00
5.95397900e+00	2.94342020e+00	4.28838130e+00
5.96395800e+00	2.89548070e+00	4.25331480e+00
5.97393700e+00	2.92200020e+00	4.27274890e+00
5.98391600e+00	2.90402490e+00	4.25958610e+00
5.99389400e+00	2.91550560e+00	4.26799800e+00
6.00387300e+00	2.95087310e+00	4.29380630e+00
6.01385200e+00	2.94874440e+00	4.29225790e+00
6.02383100e+00	2.87460180e+00	4.23795260e+00
6.03381000e+00	2.95670200e+00	4.29804550e+00
6.04378900e+00	2.94941710e+00	4.29274720e+00
6.05376800e+00	2.96080960e+00	4.30103030e+00
6.06374600e+00	2.93688780e+00	4.28361920e+00
6.07372500e+00	2.95723050e+00	4.29842910e+00
6.08370400e+00	2.91736130e+00	4.26935600e+00
6.09368300e+00	2.94078610e+00	4.28646120e+00
6.10366200e+00	2.91888730e+00	4.27047250e+00
6.11364100e+00	2.94384300e+00	4.28868930e+00
6.12362000e+00	2.94948710e+00	4.29279830e+00
6.13359800e+00	2.96454130e+00	4.30373930e+00
6.14357700e+00	2.99359690e+00	4.32477850e+00
6.15355600e+00	2.93737570e+00	4.28397550e+00
6.16353500e+00	2.92385660e+00	4.27410550e+00
6.17351400e+00	3.00713560e+00	4.33454770e+00
6.18349300e+00	3.00188700e+00	4.33076280e+00
6.19347100e+00	3.00382320e+00	4.33215930e+00
6.20345000e+00	2.99147170e+00	4.32324340e+00
6.21342900e+00	3.00916070e+00	4.33600650e+00
6.22340800e+00	3.02573670e+00	4.34793240e+00
6.23338700e+00	2.98517380e+00	4.31868990e+00
6.24336600e+00	3.02010310e+00	4.34388290e+00
6.25334500e+00	3.01101850e+00	4.33734490e+00
6.26332300e+00	2.99755540e+00	4.32763730e+00
6.27330200e+00	3.00402690e+00	4.33230630e+00
6.28328100e+00	2.98942140e+00	4.32176150e+00
6.29326000e+00	2.99507250e+00	4.32584460e+00
6.30323900e+00	2.99918570e+00	4.32881400e+00
6.31321800e+00	3.02494850e+00	4.34736610e+00
6.32319700e+00	3.04396890e+00	4.36101260e+00
6.33317500e+00	3.03555770e+00	4.35498280e+00
6.34315400e+00	2.99235860e+00	4.32388460e+00
6.35313300e+00	3.04493000e+00	4.36170140e+00
6.36311200e+00	3.01916510e+00	4.34320810e+00
6.37309100e+00	3.08101780e+00	4.38747190e+00
6.38307000e+00	2.99802160e+00	4.32797400e+00
6.39304900e+00	3.06892530e+00	4.37885350e+00
6.40302700e+00	3.03344510e+00	4.35346730e+00
6.41300600e+00	3.08705740e+00	4.39176990e+00
6.42298500e+00	3.04744790e+00	4.36350390e+00
6.43296400e+00	3.05746560e+00	4.37067050e+00
6.44294300e+00	3.08443100e+00	4.38990160e+00
6.45292200e+00	3.07150830e+00	4.38069590e+00
6.46290100e+00	3.05655140e+00	4.37001670e+00
6.47287900e+00	3.08195510e+00	4.38813900e+00
6.48285800e+00	3.13413520e+00	4.42513050e+00
6.49283700e+00	3.09580880e+00	4.39799080e+00
6.50281600e+00	3.11523660e+00	4.41176890e+00
6.51279500e+00	3.09232770e+00	4.39551700e+00
6.52277400e+00	3.10940490e+00	4.40763750e+00
6.53275300e+00	3.12915960e+00	4.42161650e+00
6.54273100e+00	3.11274600e+00	4.41000490e+00
6.55271000e+00	3.08817250e+00	4.39256300e+00
6.56268900e+00	3.15054390e+00	4.43669940e+00
6.57266800e+00	3.14396740e+00	4.43206610e+00
6.58264700e+00	3.10705080e+00	4.40596870e+00
6.59262600e+00	3.13732720e+00	4.42738380e+00
6.60260400e+00	3.11895290e+00	4.41439950e+00
6.61258300e+00	3.14611640e+00	4.43358090e+00
6.62256200e+00	3.14065220e+00	4.42972880e+00
6.63254100e+00	3.16326990e+00	4.44565100e+00
6.64252000e+00	3.16069390e+00	4.44384010e+00
6.65249900e+00	3.16305080e+00	4.44549700e+00
6.66247800e+00	3.15805700e+00	4.44198580e+00
6.67245600e+00	3.17322180e+00	4.45263840e+00
6.68243500e+00	3.11849720e+00	4.41407680e+00
6.69241400e+00	3.15398160e+00	4.43911930e+00
6.70239300e+00	3.15963830e+00	4.44309810e+00
6.71237200e+00	3.13383350e+00	4.42491770e+00
6.72235100e+00	3.21148100e+00	4.47940080e+00
6.73233000e+00	3.15968800e+00	4.44313310e+00
6.74230800e+00	3.19189010e+00	4.46571720e+00
6.75228700e+00	3.22440020e+00	4.48840140e+00
6.76226600e+00	3.15128520e+00	4.43722090e+00
6.77224500e+00	3.18869880e+00	4.46348420e+00
6.78222400e+00	3.24736790e+00	4.50435930e+00
6.79220300e+00	3.20029080e+00	4.47158950e+00
6.80218200e+00	3.21219010e+00	4.47989500e+00
6.81216000e+00	3.21440070e+00	4.48143640e+00
6.82213900e+00	3.17063250e+00	4.45082190e+00
6.83211800e+00	3.15613900e+00	4.44063690e+00
6.84209700e+00	3.18113460e+00	4.45818660e+00
6.85207600e+00	3.21837320e+00	4.48420490e+00
6.86205500e+00	3.20551350e+00	4.47523650e+00
6.87203400e+00	3.22289240e+00	4.48735210e+00
6.88201200e+00	3.28345780e+00	4.52931920e+00
6.89199100e+00	3.22970130e+00	4.49208970e+00
6.90197000e+00	3.28849010e+00	4.53278910e+00
6.91194900e+00	3.24411920e+00	4.50210530e+00
6.92192800e+00	3.25555720e+00	4.51003490e+00
6.93190700e+00	3.22613410e+00	4.48960820e+00
6.94188600e+00	3.26745230e+00	4.51826690e+00
6.95186400e+00	3.27684350e+00	4.52475520e+00
6.96184300e+00	3.27888750e+00	4.52616570e+00
6.97182200e+00	3.31268000e+00	4.54943020e+00
6.98180100e+00	3.26852330e+00	4.51900680e+00
6.99178000e+00	3.25798410e+00	4.51171560e+00
7.00175900e+00	3.26612160e+00	4.51734640e+00
7.01173700e+00	3.26411260e+00	4.51595690e+00
7.02171600e+00	3.25365110e+00	4.50871400e+00
7.03169500e+00	3.29809620e+00	4.53940480e+00
7.04167400e+00	3.27749800e+00	4.52520740e+00
7.05165300e+00	3.29532490e+00	4.53749730e+00
7.06163200e+00	3.28019790e+00	4.52707010e+00
7.07161100e+00	3.30211700e+00	4.54217120e+00
7.08158900e+00	3.32045210e+00	4.55476350e+00
7.09156800e+00	3.31880430e+00	4.55363300e+00
7.10154700e+00	3.29846370e+00	4.53965750e+00
7.11152600e+00	3.30823570e+00	4.54637680e+00
7.12150500e+00	3.33730040e+00	4.56630440e+00
7.13148400e+00	3.32553410e+00	4.55824810e+00
7.14146300e+00	3.28545980e+00	4.53069960e+00
7.15144100e+00	3.31893450e+00	4.55372260e+00
7.16142000e+00	3.33961460e+00	4.56788780e+00
7.17139900e+00	3.28589380e+00	4.53099920e+00
7.18137800e+00	3.33659340e+00	4.56582070e+00
7.19135700e+00	3.35063050e+00	4.57541490e+00
7.20133600e+00	3.36888230e+00	4.58786020e+00
7.21131500e+00	3.36425670e+00	4.58470950e+00
7.22129300e+00	3.35405210e+00	4.57775080e+00
7.23127200e+00	3.31239020e+00	4.54923070e+00
7.24125100e+00	3.36412930e+00	4.58462200e+00
7.25123000e+00	3.36391650e+00	4.58447780e+00
7.26120900e+00	3.33276510e+00	4.56320060e+00
7.27118800e+00	3.34610080e+00	4.57232090e+00
7.28116700e+00	3.38234680e+00	4.59701900e+00
7.29114500e+00	3.38432640e+00	4.59836440e+00
7.30112400e+00	3.36876330e+00	4.58777900e+00
7.31110300e+00	3.41931520e+00	4.62207270e+00
7.32108200e+00	3.41463150e+00	4.61890660e+00
7.33106100e+00	3.42152370e+00	4.62356580e+00
7.34104000e+00	3.40993170e+00	4.61572650e+00
7.35101900e+00	3.36348320e+00	4.58418240e+00
7.36099700e+00	3.41801390e+00	4.62119350e+00
7.37097600e+00	3.41977370e+00	4.62238280e+00
7.38095500e+00	3.45452380e+00	4.64580900e+00
7.39093400e+00	3.40691750e+00	2.48639090e-02
7.40091300e+00	3.39390380e+00	2.46691620e-02
7.41089200e+00	3.41176780e+00	2.46401890e-02
7.42087000e+00	3.42617100e+00	2.49720730e-02
7.43084900e+00	3.42985090e+00	2.45510720e-02
7.44082800e+00	3.46929870e+00	2.49844630e-02
7.45080700e+00	3.40590950e+00	2.45588070e-02
7.46078600e+00	3.48450130e+00	4.66592280e+00
7.47076500e+00	3.45471420e+00	4.64593640e+00
7.48074400e+00	3.49090210e+00	2.52481600e-02
7.49072200e+00	3.46422440e+00	2.50025440e-02
7.50070100e+00	3.41147800e+00	2.45932680e-02
7.51068000e+00	3.47093950e+00	2.51541990e-02
7.52065900e+00	3.47487210e+00	4.65947160e+00
7.53063800e+00	3.47809140e+00	4.66162970e+00
7.54061700e+00	3.48469520e+00	4.66605230e+00
7.55059600e+00	3.48592160e+00	4.66687340e+00
7.56057400e+00	3.46900260e+00	4.65553480e+00
7.57055300e+00	3.43740880e+00	4.63428560e+00
7.58053200e+00	3.54335030e+00	4.70515850e+00
7.59051100e+00	3.51232140e+00	4.68451200e+00
7.60049000e+00	3.53718540e+00	4.70106420e+00
7.61046900e+00	3.52699270e+00	4.69428540e+00
7.62044800e+00	3.57915460e+00	4.72887100e+00
7.63042600e+00	3.53228750e+00	4.69780780e+00
7.64040500e+00	3.51625470e+00	4.68713420e+00
7.65038400e+00	3.54279380e+00	2.50834850e-02
7.66036300e+00	3.57275590e+00	4.72464230e+00
7.67034200e+00	3.53646090e+00	4.70058190e+00
7.68032100e+00	3.54210570e+00	2.50830860e-02
7.69030000e+00	3.53902220e+00	2.53441020e-02
7.70027800e+00	3.49790070e+00	2.49222050e-02
7.71025700e+00	3.56195560e+00	2.50428990e-02
7.72023600e+00	3.56179810e+00	4.71739100e+00
7.73021500e+00	3.52275910e+00	4.69146720e+00
7.74019400e+00	3.57379470e+00	2.50999070e-02
7.75017300e+00	3.60553970e+00	2.51738550e-02
7.76015100e+00	3.57653940e+00	2.57036710e-02
7.77013000e+00	3.56491730e+00	2.53270010e-02
7.78010900e+00	3.57489300e+00	2.52175980e-02
7.79008800e+00	3.55138350e+00	2.53652070e-02
7.80006700e+00	3.61652690e+00	2.55132080e-02
7.81004600e+00	3.58978130e+00	2.52658420e-02
7.82002500e+00	3.60857630e+00	2.53841630e-02
7.83000300e+00	3.61875920e+00	2.53593830e-02
7.83998200e+00	3.58293810e+00	4.73136930e+00
7.84996100e+00	3.54945640e+00	4.70921150e+00
7.85994000e+00	3.63347110e+00	2.57605530e-02
7.86991900e+00	3.66392880e+00	2.55206910e-02
7.87989800e+00	3.62309850e+00	2.54329600e-02
7.88987700e+00	3.60356220e+00	2.54833950e-02
7.89985500e+00	3.63463380e+00	4.76538020e+00
7.90983400e+00	3.62698630e+00	4.76036470e+00
7.91981300e+00	3.63065570e+00	2.53438990e-02
7.92979200e+00	3.69059810e+00	2.59641060e-02
7.93977100e+00	3.60649660e+00	2.56060210e-02
7.94975000e+00	3.56442660e+00	2.54477160e-02
7.95972900e+00	3.67109190e+00	4.78922080e+00
7.96970700e+00	3.63574330e+00	4.76610750e+00
7.97968600e+00	3.66907590e+00	4.78790550e+00
7.98966500e+00	3.69121620e+00	2.60089830e-02
7.99964400e+00	3.61482100e+00	2.55069150e-02
8.00962300e+00	3.64369180e+00	2.58389320e-02
8.01960200e+00	3.66359420e+00	2.56807880e-02
8.02958100e+00	3.64315000e+00	2.56964890e-02
8.03955900e+00	3.71141820e+00	2.57623450e-02
8.04953800e+00	3.61456130e+00	2.55854900e-02
8.05951700e+00	3.69538960e+00	2.58255760e-02
8.06949600e+00	3.67920140e+00	2.59261170e-02
8.07947500e+00	3.71628670e+00	2.57994170e-02
8.08945400e+00	3.73533650e+00	2.59691110e-02
8.09943300e+00	3.67505600e+00	2.58939660e-02
8.10941100e+00	3.74581550e+00	2.60136170e-02
8.11939000e+00	3.75127410e+00	2.58593720e-02
8.12936900e+00	3.74040590e+00	4.83422170e+00
8.13934800e+00	3.73865100e+00	4.83308840e+00
8.14932700e+00	3.72798930e+00	2.58602190e-02
8.15930600e+00	3.71196910e+00	2.62168340e-02
8.16928400e+00	3.73823030e+00	2.58406610e-02
8.17926300e+00	3.72318940e+00	2.59409220e-02
8.18924200e+00	3.74946880e+00	2.60697220e-02
8.19922100e+00	3.77567540e+00	2.63238920e-02
8.20920000e+00	3.74710910e+00	2.59157220e-02
8.21917900e+00	3.74692430e+00	2.61267230e-02
8.22915800e+00	3.74399760e+00	2.60297450e-02
8.23913600e+00	3.77319110e+00	2.62795680e-02
8.24911500e+00	3.70546050e+00	2.58698510e-02
8.25909400e+00	3.75970490e+00	2.60207990e-02
8.26907300e+00	3.74511480e+00	2.59986720e-02
8.27905200e+00	3.81913700e+00	2.61749040e-02
8.28903100e+00	3.74965500e+00	4.84019550e+00
8.29901000e+00	3.79185730e+00	4.86735760e+00
8.30898800e+00	3.81579590e+00	2.62728060e-02
8.31896700e+00	3.75019610e+00	2.59177170e-02
8.32894600e+00	3.75387180e+00	2.60938860e-02
8.33892500e+00	3.77280190e+00	2.62567060e-02
8.34890400e+00	3.81026310e+00	2.62280410e-02
8.35888300e+00	3.78701120e+00	2.63626020e-02
8.36886200e+00	3.83270580e+00	2.62769640e-02
8.37884000e+00	3.79839110e+00	4.87154850e+00
8.38881900e+00	3.79704150e+00	4.87068330e+00
8.39879800e+00	3.80113300e+00	4.87330690e+00
8.40877700e+00	3.77475350e+00	4.85636760e+00
8.41875600e+00	3.79434090e+00	4.86895080e+00
8.42873500e+00	3.83259940e+00	4.89343610e+00
8.43871400e+00	3.80473590e+00	4.87561620e+00
8.44869200e+00	3.78839510e+00	2.62047660e-02
8.45867100e+00	3.84997270e+00	2.65137950e-02
8.46865000e+00	3.83712560e+00	2.65442380e-02
8.47862900e+00	3.81573710e+00	4.88265960e+00
8.48860800e+00	3.77797000e+00	4.85843610e+00
8.49858700e+00	3.85772940e+00	4.90945280e+00
8.50856600e+00	3.85709170e+00	4.90904750e+00
8.51854400e+00	3.85783370e+00	4.90951930e+00
8.52852300e+00	3.83883780e+00	4.89741770e+00
8.53850200e+00	3.83325880e+00	4.89385750e+00
8.54848100e+00	3.87673650e+00	4.92153270e+00
8.55846000e+00	3.86737890e+00	4.91558970e+00
8.56843900e+00	3.87925020e+00	4.92312800e+00
8.57841700e+00	3.85196840e+00	2.63045860e-02
8.58839600e+00	3.89399640e+00	2.66723100e-02
8.59837500e+00	3.86951040e+00	4.91694350e+00
8.60835400e+00	3.92949340e+00	4.95490730e+00
8.61833300e+00	3.83248180e+00	2.62798340e-02
8.62831200e+00	3.89326770e+00	2.66881020e-02
8.63829100e+00	3.93772330e+00	2.69705310e-02
8.64826900e+00	3.89659620e+00	2.66399560e-02
8.65824800e+00	3.90475820e+00	2.65075720e-02
8.66822700e+00	3.93251600e+00	2.70643030e-02
8.67820600e+00	3.93261260e+00	2.68669800e-02
8.68818500e+00	3.89525220e+00	2.64868450e-02
8.69816400e+00	3.90224940e+00	2.67375640e-02
8.70814300e+00	3.97305510e+00	2.67939000e-02
8.71812100e+00	3.95719030e+00	2.70258590e-02
8.72810000e+00	3.94892610e+00	2.69685640e-02
8.73807900e+00	3.97253500e+00	4.98197000e+00
8.74805800e+00	3.93132040e+00	4.95605880e+00
8.75803700e+00	3.89640090e+00	2.66352100e-02
8.76801600e+00	3.91777400e+00	2.67732360e-02
8.77799500e+00	3.97068420e+00	2.68746940e-02
8.78797300e+00	3.95924830e+00	2.71641440e-02
8.79795200e+00	3.95443790e+00	2.70826570e-02
8.80793100e+00	3.97175310e+00	4.98147930e+00
8.81791000e+00	3.98246310e+00	4.98819160e+00
8.82788900e+00	3.98997900e+00	4.99289630e+00
8.83786800e+00	3.99153650e+00	4.99387070e+00
8.84784700e+00	3.95259550e+00	2.67245650e-02
8.85782500e+00	3.99611450e+00	4.99673370e+00
8.86780400e+00	3.99104650e+00	4.99356410e+00
8.87778300e+00	4.01853900e+00	5.01073370e+00
8.88776200e+00	3.97383840e+00	4.98278690e+00
8.89774100e+00	4.01157400e+00	2.70759370e-02
8.90772000e+00	3.95389610e+00	2.69194800e-02
8.91769900e+00	3.95939460e+00	2.69082730e-02
8.92767700e+00	3.98924470e+00	2.70609010e-02
8.93765600e+00	4.00759590e+00	2.68932300e-02
8.94763500e+00	4.02508610e+00	5.01481400e+00
8.95761400e+00	3.98599390e+00	4.99040220e+00
8.96759300e+00	3.97814270e+00	2.69883740e-02
8.97757200e+00	4.04666010e+00	2.73255010e-02
8.98755000e+00	3.98872320e+00	2.71817210e-02
8.99752900e+00	3.98897730e+00	2.69649870e-02
9.00750800e+00	4.00316350e+00	2.73143570e-02
9.01748700e+00	4.05277530e+00	2.73963900e-02
9.02746600e+00	3.99591920e+00	2.70118520e-02
9.03744500e+00	4.01026220e+00	2.70391240e-02
9.04742400e+00	4.05916000e+00	2.76483760e-02
9.05740200e+00	4.03234790e+00	5.01933530e+00
9.06738100e+00	4.10917780e+00	5.06692760e+00
9.07736000e+00	4.05417180e+00	2.75180570e-02
9.08733900e+00	4.04665520e+00	2.73885430e-02
9.09731800e+00	4.13321580e+00	2.74037820e-02
9.10729700e+00	4.11847170e+00	2.76104080e-02
9.11727600e+00	4.07769670e+00	2.71657540e-02
9.12725400e+00	4.05262130e+00	2.72861680e-02
9.13723300e+00	4.07976660e+00	2.78191760e-02
9.14721200e+00	4.06627200e+00	2.74427160e-02
9.15719100e+00	4.05452740e+00	2.72443080e-02
9.16717000e+00	4.08620380e+00	2.74713600e-02
9.17714900e+00	4.11430460e+00	2.75286480e-02
9.18712800e+00	4.10449690e+00	2.72674780e-02
9.19710600e+00	4.03515210e+00	5.02108040e+00
9.20708500e+00	4.11989900e+00	5.07353280e+00
9.21706400e+00	4.09615010e+00	5.05888880e+00
9.22704300e+00	4.09188570e+00	2.75265060e-02
9.23702200e+00	4.12883380e+00	2.75457070e-02
9.24700100e+00	4.10748030e+00	2.74457330e-02
9.25698000e+00	4.15234610e+00	2.77299050e-02
9.26695800e+00	4.16656380e+00	2.77014500e-02
9.27693700e+00	4.11699890e+00	2.75187640e-02
9.28691600e+00	4.10959780e+00	5.06718660e+00
9.29689500e+00	4.16564190e+00	5.10162100e+00
9.30687400e+00	4.15103360e+00	5.09266800e+00
9.31685300e+00	4.20194670e+00	5.12380400e+00
9.32683200e+00	4.16076710e+00	2.78020190e-02
9.33681000e+00	4.16654840e+00	2.76436790e-02
9.34678900e+00	4.21014720e+00	2.77863950e-02
9.35676800e+00	4.12708240e+00	2.77966290e-02
9.36674700e+00	4.17968460e+00	2.77907630e-02
9.37672600e+00	4.20853650e+00	2.77357640e-02
9.38670500e+00	4.17380880e+00	5.10661970e+00
9.39668300e+00	4.18635560e+00	5.11428960e+00
9.40666200e+00	4.19745340e+00	2.78482960e-02
9.41664100e+00	4.18574940e+00	2.75620450e-02
9.42662000e+00	4.20652190e+00	2.77957190e-02
9.43659900e+00	4.15069760e+00	2.76436790e-02
9.44657800e+00	4.18000170e+00	2.78934040e-02
9.45655700e+00	4.20567420e+00	2.77948510e-02
9.46653500e+00	4.17905670e+00	2.75036230e-02
9.47651400e+00	4.26099380e+00	2.80227990e-02
9.48649300e+00	4.27134260e+00	2.78503610e-02
9.49647200e+00	4.21583050e+00	2.78728030e-02
9.50645100e+00	4.22267790e+00	2.82787330e-02
9.51643000e+00	4.26570970e+00	2.81665580e-02
9.52640900e+00	4.24781070e+00	2.75869720e-02
9.53638700e+00	4.27871500e+00	2.83480400e-02
9.54636600e+00	4.29392530e+00	2.81775270e-02
9.55634500e+00	4.31241930e+00	2.79200810e-02
9.56632400e+00	4.25484780e+00	2.82015230e-02
9.57630300e+00	4.25352410e+00	2.80902090e-02
9.58628200e+00	4.23420550e+00	2.77123910e-02
9.59626100e+00	4.23749830e+00	5.14543400e+00
9.60623900e+00	4.25998650e+00	5.15906930e+00
9.61621800e+00	4.24103540e+00	5.14758090e+00
9.62619700e+00	4.29504180e+00	2.80998200e-02
9.63617600e+00	4.27231840e+00	2.86382460e-02
9.64615500e+00	4.28536640e+00	2.80125510e-02
9.65613400e+00	4.28937740e+00	2.81993810e-02
9.66611300e+00	4.28385230e+00	2.82776200e-02
9.67609100e+00	4.28530480e+00	2.76446590e-02
9.68607000e+00	4.32914370e+00	2.81886500e-02
9.69604900e+00	4.28300110e+00	2.81783250e-02
9.70602800e+00	4.34861490e+00	2.80886270e-02
9.71600700e+00	4.34177730e+00	2.82761080e-02
9.72598600e+00	4.31671800e+00	2.81170400e-02
9.73596400e+00	4.33952050e+00	5.20700670e+00
9.74594300e+00	4.32361020e+00	5.19745240e+00
9.75592200e+00	4.29907520e+00	5.18268450e+00
9.76590100e+00	4.34495950e+00	2.81083810e-02
9.77588000e+00	4.36591680e+00	5.22281900e+00
9.78585900e+00	4.35315230e+00	5.21517850e+00
9.79583800e+00	4.34893620e+00	2.82224810e-02
9.80581600e+00	4.37391010e+00	2.85347790e-02
9.81579500e+00	4.33989570e+00	2.84225900e-02
9.82577400e+00	4.39286890e+00	2.84902590e-02
9.83575300e+00	4.36467150e+00	2.83880450e-02
9.84573200e+00	4.36099720e+00	2.84258380e-02
9.85571100e+00	4.35363880e+00	2.78928020e-02
9.86569000e+00	4.39788370e+00	2.84406710e-02
9.87566800e+00	4.38897480e+00	2.86470450e-02
9.88564700e+00	4.38273780e+00	2.81633450e-02
9.89562600e+00	4.42183770e+00	2.85398190e-02
9.90560500e+00	4.37556840e+00	2.85042380e-02
9.91558400e+00	4.40620950e+00	2.83922660e-02
9.92556300e+00	4.44108910e+00	2.89762830e-02
9.93554200e+00	4.46497590e+00	2.87583800e-02
9.94552000e+00	4.42763510e+00	2.83492930e-02
9.95549900e+00	4.45411680e+00	2.85592020e-02
9.96547800e+00	4.41131460e+00	2.86809950e-02
9.97545700e+00	4.43267300e+00	5.26259650e+00
9.98543600e+00	4.44721270e+00	5.27122050e+00
9.99541500e+00	4.45128320e+00	5.27363200e+00
1.00053900e+01	4.53041960e+00	2.88499610e-02
1.00153700e+01	4.48729890e+00	5.29492390e+00
1.00253500e+01	4.53499900e+00	5.32299180e+00
1.00353300e+01	4.52678800e+00	5.31817090e+00
1.00453100e+01	4.45319630e+00	5.27476530e+00
1.00552900e+01	4.58626000e+00	5.35299170e+00
1.00652700e+01	4.57568300e+00	2.89718870e-02
1.00752500e+01	4.62154210e+00	3.02105300e-02
1.00852200e+01	4.56147370e+00	3.05964680e-02
1.00952000e+01	4.55978390e+00	5.33751820e+00
1.01051800e+01	4.56579410e+00	3.18566990e-02
1.01151600e+01	4.54439930e+00	3.18233790e-02
1.01251400e+01	4.53624710e+00	5.32372470e+00
1.01351200e+01	4.52349310e+00	5.31623540e+00
1.01451000e+01	4.57481500e+00	3.30016260e-02
1.01550800e+01	4.61179950e+00	3.39359650e-02
1.01650600e+01	4.57671760e+00	3.40112080e-02
1.01750300e+01	4.57238880e+00	3.40856880e-02
1.01850100e+01	4.65015880e+00	3.49840680e-02
1.01949900e+01	4.62458010e+00	3.51393490e-02
1.00000000e+03	0.00000000e+00	0.00000000e+00
