q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_20p0wt_merged_nmA.dat_00001_[nmA(PEG20k_20p0wt_merged.dat_00001_[merged(PEG_PEG20k_20p0wt_1621_noT_sub_mult_mult_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_1621_noT_sub_mult_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_1621_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_1621_noT_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)]*0.5800)]-PEG_Water_1621_noT_sub_mult.dat_00001_[mult(PEG_Water_1621_noT_sub.dat_00001_[sub(PEG_Water_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)])]PEG_PEG20k_20p0wt_300_noT_sub_mult_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_300_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_300_noT_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])]*0.5000)]-PEG_Water_300_noT_sub.dat_00001_[sub(PEG_Water_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])])],scale_low,lq=0.4438,hq=0.7171)])],1,0.0050)	error
2.35141900e-02	6.66559576e-04	2.44174912e-02
2.37285000e-02	2.60792178e-03	5.35918397e-04
2.39428100e-02	1.53888520e-03	2.48051422e-02
2.41571200e-02	2.17295137e-03	5.28592855e-04
2.43714200e-02	-5.11927680e-05	5.44256129e-04
2.45857300e-02	7.08724463e-04	5.38763282e-04
2.48000400e-02	7.46067037e-04	5.35045567e-04
2.50143500e-02	8.48336705e-04	5.16436551e-04
2.52286600e-02	8.01045000e-04	5.31831824e-04
2.54429700e-02	1.60964045e-03	4.87003627e-04
2.56572800e-02	5.64967905e-04	4.94538314e-04
2.58715900e-02	1.33995103e-03	5.04880893e-04
2.60859000e-02	1.26755292e-03	4.92618987e-04
2.63002100e-02	1.34855717e-03	4.89437454e-04
2.65145200e-02	1.49924991e-03	4.68840749e-04
2.67288300e-02	1.71000584e-03	4.70713525e-04
2.69431300e-02	2.16706082e-03	2.45233924e-02
2.71574400e-02	1.00557798e-03	2.78141471e-02
2.73717500e-02	1.08113425e-03	3.45626127e-02
2.75860600e-02	1.18390022e-03	4.54136536e-04
2.80146800e-02	8.40771245e-04	2.71980947e-04
2.86576100e-02	9.18355608e-04	2.64594745e-04
2.93005300e-02	1.08047764e-03	2.47363030e-04
2.99434600e-02	9.99560683e-04	2.44325415e-04
3.05863900e-02	8.68288269e-04	2.37588089e-04
3.12293200e-02	1.22172879e-03	2.30878679e-04
3.18722400e-02	8.00620156e-04	2.28180766e-04
3.25151700e-02	1.16565101e-03	2.15918466e-04
3.31581000e-02	6.74308701e-04	2.34214635e-03
3.38010300e-02	1.14337492e-03	2.16414335e-04
3.44439500e-02	7.95694578e-04	2.21892112e-04
3.50868800e-02	4.82931271e-04	2.12188353e-04
3.57298100e-02	1.20194436e-03	2.05077650e-04
3.63727400e-02	7.60115082e-04	2.03399692e-04
3.70156600e-02	7.98865448e-04	2.03248719e-04
3.78729000e-02	8.95003156e-04	1.50802634e-04
3.89444500e-02	9.83691176e-04	1.45850044e-04
4.00159900e-02	1.01869227e-03	1.41632032e-04
4.10875400e-02	1.20290727e-03	1.37892237e-04
4.21590800e-02	1.04581739e-03	1.35887567e-04
4.32306300e-02	8.43005912e-04	1.33009004e-04
4.38735600e-02	1.03254334e-03	2.03411016e-02
4.43021700e-02	6.73804509e-04	8.09240202e-03
4.53737200e-02	8.41495518e-04	6.98949156e-03
4.64452700e-02	8.82705053e-04	5.92695018e-03
4.75168100e-02	8.61588037e-04	3.45292969e-03
4.85883600e-02	7.65375032e-04	8.25828014e-04
4.96599000e-02	8.66285297e-04	1.96206725e-03
5.07314500e-02	8.65386278e-04	7.10432917e-03
5.18029900e-02	7.81946263e-04	6.01473770e-03
5.28745400e-02	6.40525003e-04	6.47844227e-03
5.39460900e-02	8.64205698e-04	5.83223513e-03
5.50176300e-02	9.12901092e-04	6.80183310e-04
5.63034900e-02	8.85624168e-04	3.23343295e-03
5.78036500e-02	7.67498094e-04	3.48932188e-03
5.93038100e-02	7.21879114e-04	2.36151405e-04
6.08039800e-02	8.53332881e-04	5.00439643e-03
6.23041400e-02	6.83909914e-04	5.02346783e-03
6.38043100e-02	9.01870032e-04	1.01377371e-04
6.53044700e-02	9.08047309e-04	4.71966818e-03
6.68046300e-02	7.19834532e-04	4.38940211e-03
6.83048000e-02	6.60453274e-04	5.10842770e-03
6.98049600e-02	7.58256607e-04	4.33260419e-03
7.13051300e-02	9.08373970e-04	3.62007367e-03
7.58608300e-02	7.98973000e-04	1.32109349e-04
7.70059200e-02	7.13855540e-04	1.27917942e-04
7.81510200e-02	8.02099160e-04	1.25474797e-04
7.92961100e-02	6.71249100e-04	1.23073682e-04
8.04412100e-02	6.43464000e-04	1.27048816e-04
8.15863000e-02	6.37669000e-04	1.29535078e-04
8.27314000e-02	7.89223000e-04	1.21883211e-04
8.38764900e-02	6.46983540e-04	3.15023179e-04
8.50215900e-02	7.43797790e-04	5.20244706e-03
8.61666800e-02	8.24161500e-04	1.20638273e-04
8.73117700e-02	5.65524000e-04	1.25892585e-04
8.84568700e-02	8.63461500e-04	1.18005183e-04
8.96019600e-02	5.35429500e-04	1.24025519e-04
9.07470600e-02	6.85121000e-04	1.23136943e-04
9.18921500e-02	6.82322500e-04	1.16944531e-04
9.30372500e-02	6.22783500e-04	1.18975140e-04
9.41823400e-02	5.07773500e-04	1.24576120e-04
9.53274400e-02	6.35231000e-04	1.16214333e-04
9.64725300e-02	5.99496000e-04	1.14541645e-04
9.76176300e-02	4.59770000e-04	1.17627200e-04
9.87627200e-02	5.93087500e-04	1.13829134e-04
9.99078200e-02	6.88458500e-04	1.12621454e-04
1.01052900e-01	5.87733780e-04	1.11351870e-04
1.02198000e-01	6.62700710e-04	1.11472166e-04
1.03343100e-01	6.53347590e-04	1.09887308e-04
1.04488200e-01	6.74306380e-04	1.12408682e-04
1.05633300e-01	8.20445110e-04	1.10047536e-04
1.06778400e-01	6.28088500e-04	1.08668365e-04
1.07923500e-01	6.90895500e-04	1.12300096e-04
1.09068600e-01	6.50893480e-04	1.07255892e-04
1.10213700e-01	6.97178700e-04	1.06567560e-04
1.11358800e-01	6.55011310e-04	1.07558627e-04
1.12503900e-01	6.35953530e-04	1.07614689e-04
1.13649000e-01	5.58711500e-04	1.11710590e-04
1.14794100e-01	5.62065500e-04	1.10239969e-04
