q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_7p5wt_merged_nmA.dat_00001_[nmA(PEG20k_7p5wt_merged.dat_00001_[merged(PEG_PEG20k_7p5wt_1621_noT_sub_mult_mult_sub.dat_00001_[sub(PEG_PEG20k_7p5wt_1621_noT_sub_mult_mult.dat_00001_[mult(PEG_PEG20k_7p5wt_1621_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_7p5wt_1621_noT_sub.dat_00001_[sub(PEG_PEG20k_7p5wt_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)]*0.6900)]-PEG_Water_1621_noT_sub_mult.dat_00001_[mult(PEG_Water_1621_noT_sub.dat_00001_[sub(PEG_Water_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)])]PEG_PEG20k_7p5wt_300_noT_sub_mult_sub.dat_00001_[sub(PEG_PEG20k_7p5wt_300_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_7p5wt_300_noT_sub.dat_00001_[sub(PEG_PEG20k_7p5wt_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])]*0.6300)]-PEG_Water_300_noT_sub.dat_00001_[sub(PEG_Water_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])])],scale_low,lq=0.3726,hq=0.4913)])],1,0.0050)	error
1.47275100e-02	4.62443654e-03	1.72801661e-03
1.49418200e-02	6.85239426e-03	1.66062959e-03
1.51561300e-02	3.53051404e-03	1.66804400e-03
1.53704400e-02	4.56055619e-03	1.65769990e-03
1.55847500e-02	5.32609285e-03	1.59337727e-03
1.57990600e-02	3.75582958e-03	1.55639154e-03
1.60133700e-02	2.21962002e-03	1.56651569e-03
1.62276800e-02	5.59551062e-03	1.47866975e-03
1.64419900e-02	2.14472011e-03	1.55337640e-03
1.66563000e-02	7.10330999e-03	1.45317356e-03
1.68706000e-02	6.48269174e-03	1.47552975e-03
1.70849100e-02	5.19667636e-03	1.38473422e-03
1.72992200e-02	5.13835024e-03	1.36364794e-03
1.75135300e-02	4.71780773e-03	1.34758323e-03
1.77278400e-02	4.94038349e-03	1.31771518e-03
1.79421500e-02	3.50942424e-03	1.32413761e-03
1.81564600e-02	3.35812746e-03	1.32460730e-03
1.83707700e-02	3.98905546e-03	1.25990510e-03
1.85850800e-02	4.53266500e-03	1.28521199e-03
1.87993900e-02	3.76006335e-03	1.19165682e-03
1.90137000e-02	3.31128979e-03	1.24873775e-03
1.92280100e-02	3.37562404e-03	1.16447224e-03
1.94423100e-02	3.23191293e-03	1.15276945e-03
1.96566200e-02	4.39869186e-03	1.17935182e-03
1.98709300e-02	3.66125158e-03	1.12800355e-03
2.00852400e-02	4.28420986e-03	1.10942108e-03
2.02995500e-02	2.83778804e-03	1.11725925e-03
2.05138600e-02	4.25088875e-03	1.10183412e-03
2.07281700e-02	6.38252647e-04	5.06764034e-02
2.09424800e-02	5.70025386e-03	1.05725392e-03
2.11567900e-02	2.91291101e-03	1.08511360e-03
2.13711000e-02	4.38866898e-03	1.04571725e-03
2.15854100e-02	3.50103416e-03	1.08609039e-03
2.17997100e-02	3.69684140e-03	1.02775645e-03
2.20140200e-02	4.64483715e-03	1.03889478e-03
2.22283300e-02	1.84644030e-03	1.00284388e-03
2.24426400e-02	2.06932860e-03	9.91083287e-04
2.26569500e-02	3.97784994e-03	9.31388087e-04
2.28712600e-02	2.06913554e-03	9.97509372e-04
2.30855700e-02	2.77806282e-03	9.51334028e-04
2.32998800e-02	3.39689132e-03	9.81381341e-04
2.35141900e-02	4.18232300e-03	9.92575453e-04
2.37285000e-02	3.25085053e-03	8.91209803e-04
2.39428100e-02	3.97027423e-03	9.06451308e-04
2.41571200e-02	3.28121858e-03	8.81957706e-04
2.43714200e-02	1.86271064e-03	9.38088950e-04
2.45857300e-02	3.02372642e-03	9.29006546e-04
2.48000400e-02	2.32230537e-03	9.10707332e-04
2.50143500e-02	2.75726519e-03	8.82584392e-04
2.52286600e-02	2.76903515e-03	9.14749579e-04
2.54429700e-02	3.25335364e-03	8.27586084e-04
2.56572800e-02	2.55603270e-03	8.57293888e-04
2.58715900e-02	2.32561200e-03	8.54415373e-04
2.60859000e-02	2.90393519e-03	8.39299736e-04
2.63002100e-02	2.59028388e-03	8.28968460e-04
2.65145200e-02	3.85012889e-03	8.19631946e-04
2.67288300e-02	3.41875035e-03	8.00724962e-04
2.69431300e-02	4.99378146e-03	4.00355803e-02
2.71574400e-02	2.73875381e-03	4.54078144e-02
2.73717500e-02	3.68877639e-03	4.31375953e-02
2.75860600e-02	2.49398955e-03	7.70933713e-04
2.80146800e-02	2.43625670e-03	4.67014244e-04
2.86576100e-02	1.74320561e-03	4.46081254e-04
2.93005300e-02	2.62848810e-03	4.23286023e-04
2.99434600e-02	1.76079003e-03	4.11595099e-04
3.05863900e-02	2.09753845e-03	4.05517148e-04
3.12293200e-02	2.35749171e-03	3.90509949e-04
3.18722400e-02	2.65444017e-03	3.94783535e-04
3.25151700e-02	2.97338166e-03	3.73877351e-04
3.31581000e-02	2.41819190e-03	4.01878267e-03
3.38010300e-02	2.27543822e-03	3.68606776e-04
3.44439500e-02	2.20847799e-03	3.82648218e-04
3.50868800e-02	1.64888080e-03	3.64039517e-04
3.57298100e-02	2.66439610e-03	3.51384367e-04
3.63727400e-02	1.78105903e-03	3.47076317e-04
3.68013500e-02	2.29718847e-03	5.92263725e-04
3.76585900e-02	1.70429546e-03	5.21252036e-04
3.87301400e-02	2.00794387e-03	2.67782585e-04
3.98016800e-02	2.19467681e-03	2.61014202e-04
4.08732300e-02	2.17672166e-03	2.52992755e-04
4.19447700e-02	2.18556538e-03	2.47497699e-04
4.30163200e-02	2.06332092e-03	2.44028086e-04
4.40878700e-02	1.94765818e-03	6.64514487e-03
4.51594100e-02	1.86277816e-03	1.08538558e-02
4.62309600e-02	2.09122903e-03	6.49231249e-03
4.73025000e-02	1.95825523e-03	1.31510788e-03
4.83740500e-02	1.73175056e-03	5.98504930e-04
4.90169800e-02	1.47212105e-03	3.64145140e-03
5.06687400e-02	1.84634567e-03	2.14501544e-04
5.18138300e-02	1.79876552e-03	1.72354743e-04
5.29589300e-02	1.51777287e-03	1.66371498e-04
5.41040200e-02	1.57594172e-03	1.54573056e-04
5.52491200e-02	1.71390280e-03	1.54964423e-04
5.63942100e-02	1.99934852e-03	1.54010501e-04
5.75393100e-02	1.55534093e-03	1.50441680e-04
5.86844000e-02	1.21712147e-03	1.58507182e-04
5.98295000e-02	1.63049607e-03	1.54534293e-04
6.09745900e-02	1.46671318e-03	1.49155312e-04
6.21196900e-02	1.31061884e-03	1.54679283e-04
6.32647800e-02	1.91043177e-03	1.48986045e-04
6.44098800e-02	1.65887330e-03	1.43234124e-04
6.55549700e-02	1.59180116e-03	1.39081138e-04
6.67000700e-02	1.38103848e-03	1.43636283e-04
6.78451600e-02	1.31541063e-03	1.41473100e-04
6.89902600e-02	1.15737729e-03	1.47076485e-04
7.01353500e-02	1.36788091e-03	1.38588080e-04
7.12804500e-02	1.39839053e-03	1.36390187e-04
7.24255400e-02	1.43034260e-03	1.40262112e-04
7.35706400e-02	1.49263676e-03	1.35997722e-04
7.47157300e-02	1.55344985e-03	1.36607847e-04
7.58608300e-02	1.23473705e-03	1.40602603e-04
7.70059200e-02	1.05950312e-03	1.35670371e-04
7.81510200e-02	1.29576736e-03	1.34601859e-04
7.92961100e-02	1.28767363e-03	1.32428360e-04
8.04412100e-02	9.27536200e-04	1.33639314e-04
8.15863000e-02	1.00144329e-03	1.36704522e-04
8.27314000e-02	1.18478519e-03	1.30011769e-04
8.38764900e-02	1.04775793e-03	3.33459898e-04
8.50215900e-02	1.32422938e-03	5.74399708e-03
8.61666800e-02	1.16981175e-03	1.26967558e-04
8.73117700e-02	8.64650460e-04	1.32913849e-04
8.84568700e-02	1.20785247e-03	1.25835699e-04
8.96019600e-02	1.03469972e-03	1.33267783e-04
9.07470600e-02	8.69662770e-04	1.29049132e-04
9.18921500e-02	1.13772824e-03	1.23478498e-04
9.30372500e-02	9.10176090e-04	1.27181990e-04
9.41823400e-02	6.20708580e-04	1.29920240e-04
9.53274400e-02	1.00778137e-03	1.23856285e-04
9.64725300e-02	9.16943370e-04	1.21325729e-04
9.76176300e-02	7.27490490e-04	1.23668342e-04
9.87627200e-02	9.77781800e-04	1.20328929e-04
9.99078200e-02	9.50102480e-04	1.19207367e-04
1.01052900e-01	9.25251880e-04	1.18289803e-04
1.02198000e-01	1.02497476e-03	1.19415060e-04
1.03343100e-01	8.35356970e-04	1.15764753e-04
1.04488200e-01	8.30810910e-04	1.16688897e-04
1.05633300e-01	9.80143790e-04	1.13939912e-04
1.06778400e-01	8.33333350e-04	1.15700030e-04
1.07923500e-01	9.26306210e-04	1.17681985e-04
1.09068600e-01	7.97344310e-04	1.13263769e-04
1.10213700e-01	8.08760340e-04	1.11856768e-04
1.11358800e-01	8.10758420e-04	1.12555237e-04
1.12503900e-01	7.90999700e-04	1.12191447e-04
1.13649000e-01	8.20103260e-04	1.16867790e-04
1.14794100e-01	9.01692550e-04	1.16422754e-04
1.15939100e-01	8.07147270e-04	1.12555372e-04
1.17084200e-01	8.86532890e-04	1.09430211e-04
1.18229300e-01	9.01002850e-04	1.07870011e-04
1.19374400e-01	7.82284170e-04	1.09011363e-04
1.20519500e-01	7.17287960e-04	1.10458551e-04
1.21664600e-01	7.21398350e-04	1.07802689e-04
1.22809700e-01	8.45985930e-04	1.06382305e-04
1.23954800e-01	6.65007940e-04	1.13903660e-04
1.25099900e-01	8.37053830e-04	1.05453835e-04
1.26245000e-01	6.01907290e-04	1.11388028e-04
1.27390100e-01	4.48359870e-04	1.07935973e-04
1.28535200e-01	8.47252260e-04	1.02061156e-04
1.29680300e-01	7.50433170e-04	1.02955635e-04
1.30825400e-01	6.05084550e-04	1.05301328e-04
1.31970500e-01	7.62119860e-04	1.03246094e-04
1.33115600e-01	4.05674350e-04	1.05431372e-04
1.34260700e-01	6.01753450e-04	1.03553837e-04
1.35405800e-01	3.15205490e-04	1.06362623e-04
1.36550900e-01	6.37339830e-04	1.00676369e-04
1.37695900e-01	7.29395460e-04	1.03966245e-04
1.38841000e-01	7.55717650e-04	1.02747928e-04
1.39986100e-01	6.06579330e-04	1.01321176e-04
1.41131200e-01	5.62315980e-04	1.01438294e-04
1.42276300e-01	4.68595910e-04	9.78347113e-05
1.43421400e-01	5.77987020e-04	9.84892091e-05
1.44566500e-01	4.54950970e-04	1.01915545e-04
1.45711600e-01	5.06180150e-04	1.01502227e-04
1.46856700e-01	4.52622060e-04	1.01468524e-04
1.49146900e-01	5.14774497e-04	5.70280377e-05
1.52582200e-01	5.16863393e-04	5.63503771e-05
1.56017500e-01	4.97211493e-04	5.60762266e-05
1.59452800e-01	5.14288797e-04	5.44905876e-05
1.62888000e-01	3.92752570e-04	5.52485209e-05
1.66323300e-01	4.60478530e-04	5.34558117e-05
1.69758600e-01	4.47000533e-04	5.28765222e-05
1.73193900e-01	4.50572210e-04	5.26580155e-05
1.76629200e-01	3.28328697e-04	5.22551684e-05
1.80064500e-01	3.25419317e-04	5.16582570e-05
1.83499700e-01	3.60047033e-04	5.08947431e-05
1.86935000e-01	3.24862960e-04	5.13868232e-05
1.90370300e-01	3.25205160e-04	5.03859841e-05
1.93805600e-01	3.68953327e-04	4.93689694e-05
1.97240900e-01	3.58964383e-04	4.89058152e-05
2.01821300e-01	4.03561276e-04	3.69918786e-05
2.07546700e-01	3.27998834e-04	3.70165212e-05
2.13272200e-01	2.72236306e-04	3.67101268e-05
2.18997700e-01	3.39836444e-04	3.62817762e-05
2.24723200e-01	2.58548864e-04	3.60916867e-05
2.30448600e-01	1.91557902e-04	4.58637310e-05
2.36174100e-01	2.04486306e-04	5.13852562e-05
2.41899600e-01	2.38872884e-04	3.49314083e-05
2.47625100e-01	2.36076494e-04	7.54816594e-04
2.53350500e-01	2.36806092e-04	7.70692830e-04
2.59076000e-01	2.41161532e-04	6.45347752e-04
2.64801500e-01	1.45084738e-04	5.33524799e-05
2.70527000e-01	2.13435406e-04	6.98031979e-05
2.76252400e-01	1.78130298e-04	3.23754682e-05
2.81977900e-01	1.99883132e-04	3.22679483e-05
2.87703400e-01	1.90772286e-04	3.19145594e-05
2.93428800e-01	2.13282380e-04	1.02294719e-03
3.00299400e-01	1.84091570e-04	2.62292459e-05
3.08315100e-01	1.68790464e-04	5.52922385e-04
3.16330700e-01	1.59754434e-04	5.73494624e-04
3.24346400e-01	1.55007701e-04	7.20242661e-04
3.32362100e-01	1.34894157e-04	4.89287306e-05
3.40377700e-01	1.30357840e-04	2.50914356e-05
3.48393400e-01	1.30182533e-04	4.91773749e-05
3.56409100e-01	1.35504500e-04	1.12088716e-03
3.64424700e-01	1.28133234e-04	5.84016272e-05
3.72440400e-01	1.50134561e-04	2.42235338e-05
3.80456100e-01	1.45353607e-04	2.39339322e-05
3.88471700e-01	8.14922929e-05	2.38175488e-05
3.96487400e-01	1.24398301e-04	2.34920157e-05
4.05648100e-01	1.32648247e-04	2.05828231e-05
4.15954000e-01	1.15476850e-04	3.69704583e-05
4.26259900e-01	7.83948422e-05	2.03348700e-05
4.36565700e-01	8.27390578e-05	2.01794467e-05
4.46871600e-01	1.16340564e-04	2.95064984e-05
4.57177400e-01	1.38656741e-04	2.31229198e-05
4.67483300e-01	1.41979631e-04	7.74451805e-04
4.77789100e-01	1.13301716e-04	5.79385302e-04
4.88095000e-01	1.18558659e-04	3.20732706e-05
4.99545900e-01	9.21744864e-05	1.74282724e-05
5.12142000e-01	1.44974653e-04	8.33107189e-04
5.24738000e-01	1.17680273e-04	3.70699920e-04
5.37334100e-01	1.25363449e-04	2.66428254e-05
5.49930100e-01	8.83060127e-05	4.89016015e-04
5.62526100e-01	8.03768236e-05	2.66065166e-05
5.75122200e-01	1.10196515e-04	1.95602114e-05
5.87718200e-01	1.14607172e-04	2.03995738e-05
6.01459400e-01	6.32093469e-05	2.28046280e-05
6.16345600e-01	1.15734544e-04	4.33485806e-04
6.31231800e-01	5.31912838e-05	1.84273769e-05
6.46118100e-01	1.14585242e-04	1.91755780e-05
6.61004300e-01	9.93413354e-05	1.95308965e-05
6.75890500e-01	1.02678398e-04	1.99251538e-05
6.90776800e-01	8.27363738e-05	2.02836714e-05
7.06808100e-01	1.00778851e-04	4.04297562e-04
7.23984500e-01	1.20500420e-04	1.96368814e-05
7.41160900e-01	1.40317190e-04	2.44642707e-05
7.58337400e-01	1.11036047e-04	1.99903195e-05
7.75513800e-01	1.17334148e-04	4.20205123e-04
7.92690200e-01	8.88860793e-05	4.20741974e-04
8.11011700e-01	1.09358595e-04	1.90637228e-05
8.30478300e-01	1.20501778e-04	1.92691864e-05
8.49945000e-01	1.18351773e-04	3.82132379e-04
8.69411600e-01	1.08481505e-04	1.92757489e-05
8.88878200e-01	1.27001775e-04	2.28930790e-05
9.09489900e-01	1.19588708e-04	1.95397304e-05
9.31246700e-01	1.28631597e-04	2.76502821e-05
9.53003500e-01	1.09221663e-04	2.75402764e-04
9.74760300e-01	1.05291768e-04	3.64039192e-04
9.97662200e-01	1.40210364e-04	5.54586800e-04
1.02170900e+00	1.19618827e-04	3.36955499e-04
1.04575600e+00	8.47669643e-05	2.07302738e-05
1.06980300e+00	1.34257215e-04	3.52078893e-04
1.09499500e+00	1.11696870e-04	2.00733450e-05
1.12133200e+00	6.67330091e-05	3.32611501e-04
