q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_7p5wt_merged_nmA.dat_00001_[nmA(PEG20k_7p5wt_merged.dat_00001_[merged(PEG_PEG20k_7p5wt_1621_noT_sub_mult_mult_sub.dat_00001_[sub(PEG_PEG20k_7p5wt_1621_noT_sub_mult_mult.dat_00001_[mult(PEG_PEG20k_7p5wt_1621_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_7p5wt_1621_noT_sub.dat_00001_[sub(PEG_PEG20k_7p5wt_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)]*0.6900)]-PEG_Water_1621_noT_sub_mult.dat_00001_[mult(PEG_Water_1621_noT_sub.dat_00001_[sub(PEG_Water_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)])]PEG_PEG20k_7p5wt_300_noT_sub_mult_sub.dat_00001_[sub(PEG_PEG20k_7p5wt_300_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_7p5wt_300_noT_sub.dat_00001_[sub(PEG_PEG20k_7p5wt_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])]*0.6300)]-PEG_Water_300_noT_sub.dat_00001_[sub(PEG_Water_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])])],scale_low,lq=0.3726,hq=0.4913)])],1,0.0050)	error
4.01205600e-03	2.31898227e-01	4.21620787e-02
4.22636500e-03	1.30034197e-01	3.31823216e-02
4.44067400e-03	1.17059135e-01	2.64168116e-02
4.65498300e-03	7.82150369e-02	2.39273174e-02
4.86929200e-03	1.01253443e-01	1.92646226e-02
5.08360200e-03	6.20727768e-02	1.55893638e-02
5.29791100e-03	7.57029309e-02	1.45523847e-02
5.51222000e-03	6.72447108e-02	1.24090271e-02
5.72652900e-03	2.95018956e-02	1.08389500e-02
5.94083800e-03	4.00827827e-02	9.81652032e-03
6.15514700e-03	3.87827214e-02	9.42963079e-03
6.36945600e-03	1.91883771e-02	8.52781537e-03
6.58376600e-03	1.71887730e-02	7.85118276e-03
6.79807500e-03	2.65452128e-02	7.25090372e-03
7.01238400e-03	1.79272391e-02	6.48959478e-03
7.22669300e-03	1.58984240e-02	6.57338637e-03
7.44100200e-03	1.63349054e-02	5.81683365e-03
7.65531100e-03	1.79951267e-02	5.57423166e-03
7.86962000e-03	1.66145157e-02	5.13533199e-03
8.08393000e-03	1.82909239e-02	4.86779637e-03
8.29823900e-03	1.24431987e-02	4.51658751e-03
8.51254800e-03	1.25006706e-02	4.33176478e-03
8.72685700e-03	1.78023792e-02	1.64798019e-02
8.94116600e-03	1.60084435e-02	1.95819802e-01
9.15547500e-03	1.22555069e-02	1.56939361e-02
9.36978400e-03	1.82412469e-02	6.25226713e-03
9.58409400e-03	1.69902156e-02	3.41608170e-03
9.79840300e-03	1.88436737e-02	3.42205602e-03
1.00127100e-02	1.63780816e-02	3.18558080e-03
1.02270200e-02	1.27575706e-02	3.12194930e-03
1.04413300e-02	1.05168725e-02	1.07020927e-01
1.06556400e-02	8.80050814e-03	2.91506634e-03
1.08699500e-02	1.03196157e-02	2.81747561e-03
1.10842600e-02	9.49436993e-03	2.70166476e-03
1.12985700e-02	8.20724471e-03	2.63311921e-03
1.15128800e-02	3.91370273e-03	2.53551806e-03
1.17271900e-02	6.01714887e-03	2.45926048e-03
1.19414900e-02	6.19782462e-03	2.32830394e-03
1.21558000e-02	2.53485431e-03	2.31277143e-03
1.23701100e-02	6.65468628e-03	2.20530643e-03
1.25844200e-02	5.36012574e-03	2.27168378e-03
1.27987300e-02	6.37777133e-03	9.25941170e-02
1.30130400e-02	7.24608765e-03	2.05731141e-03
1.32273500e-02	6.20145068e-03	2.01259499e-03
1.34416600e-02	5.49228663e-03	1.91541558e-03
1.36559700e-02	2.16859012e-03	1.97159279e-03
1.38702800e-02	6.40708291e-03	1.13504910e-01
1.40845900e-02	4.11899767e-03	5.61062447e-03
1.42988900e-02	7.12920455e-03	1.76783881e-03
1.45132000e-02	6.54570899e-03	1.75131034e-03
