q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_2p5wt_merged_nmA.dat_00001_[nmA(PEG20k_2p5wt_merged.dat_00001_[merged(PEG_PEG20k_2p5wt_1621_noT_sub_mult_mult_sub.dat_00001_[sub(PEG_PEG20k_2p5wt_1621_noT_sub_mult_mult.dat_00001_[mult(PEG_PEG20k_2p5wt_1621_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_2p5wt_1621_noT_sub.dat_00001_[sub(PEG_PEG20k_2p5wt_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)]*0.7250)]-PEG_Water_1621_noT_sub_mult.dat_00001_[mult(PEG_Water_1621_noT_sub.dat_00001_[sub(PEG_Water_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)])]PEG_PEG20k_2p5wt_300_noT_sub_mult_sub.dat_00001_[sub(PEG_PEG20k_2p5wt_300_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_2p5wt_300_noT_sub.dat_00001_[sub(PEG_PEG20k_2p5wt_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])]*0.7800)]-PEG_Water_300_noT_sub.dat_00001_[sub(PEG_Water_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])])],scale_low,lq=0.3530,hq=0.5319)])],1,0.0050)	error
2.56572800e-02	1.48557703e-03	8.74917590e-04
2.58715900e-02	3.03456542e-03	8.95803642e-04
2.60859000e-02	3.37557049e-03	8.83599510e-04
2.63002100e-02	2.76910593e-03	8.67979121e-04
2.65145200e-02	2.92454166e-03	8.36516123e-04
2.67288300e-02	3.55670958e-03	8.41202386e-04
2.69431300e-02	4.57060282e-03	4.14622808e-02
2.71574400e-02	2.13211054e-03	4.70258269e-02
2.73717500e-02	3.08993424e-03	4.46748624e-02
2.75860600e-02	2.61694537e-03	8.08758111e-04
2.80146800e-02	2.63780961e-03	4.88346442e-04
2.86576100e-02	1.80736127e-03	4.64940094e-04
2.93005300e-02	2.80012351e-03	4.43390752e-04
2.99434600e-02	2.84751602e-03	4.39651140e-04
3.05863900e-02	1.98029282e-03	4.21498517e-04
3.12293200e-02	2.23687949e-03	4.07503282e-04
3.18722400e-02	1.98990553e-03	4.07668629e-04
3.25151700e-02	2.66682493e-03	3.87855918e-04
3.31581000e-02	1.19446572e-03	4.23002790e-03
3.38010300e-02	1.62418324e-03	3.79120171e-04
3.44439500e-02	2.01110851e-03	3.97282957e-04
3.50868800e-02	1.56499367e-03	3.77665596e-04
3.57298100e-02	1.73807136e-03	6.86320920e-04
3.61584300e-02	1.67557419e-03	3.89007510e-04
3.68013500e-02	1.65976552e-03	3.82508088e-04
3.76585900e-02	1.69108507e-03	2.92805273e-04
3.87301400e-02	1.93581561e-03	7.11140277e-03
3.98016800e-02	1.70910234e-03	6.83786039e-03
4.08732300e-02	1.76394842e-03	2.61219813e-04
4.19447700e-02	1.78669973e-03	2.55185669e-04
4.30163200e-02	1.73276929e-03	2.52238861e-04
4.40878700e-02	1.62179514e-03	6.88190691e-03
4.51594100e-02	1.55966931e-03	2.43585385e-04
4.62309600e-02	1.45073952e-03	6.55304466e-03
4.73025000e-02	1.44496084e-03	6.22889738e-03
4.83740500e-02	1.28468035e-03	6.09930755e-04
4.94455900e-02	9.71269764e-04	2.25810823e-03
5.05171400e-02	1.15752660e-03	1.09360066e-02
5.15886900e-02	1.11621823e-03	1.22163446e-02
5.26602300e-02	1.00834403e-03	1.12661715e-02
5.52491200e-02	1.12857088e-03	1.53877224e-04
5.63942100e-02	1.51458326e-03	1.58170870e-04
5.75393100e-02	9.42986270e-04	1.51437310e-04
5.86844000e-02	9.68015620e-04	1.64170445e-04
5.98295000e-02	7.44336300e-04	1.52873574e-04
6.09745900e-02	1.00054798e-03	1.53075080e-04
6.21196900e-02	8.73140030e-04	1.58311830e-04
6.32647800e-02	1.14643718e-03	1.48040007e-04
6.44098800e-02	1.05795698e-03	1.41945155e-04
6.55549700e-02	1.00723514e-03	1.37554569e-04
6.67000700e-02	1.01849346e-03	1.46410059e-04
6.78451600e-02	7.37286000e-04	1.42133569e-04
6.89902600e-02	6.36971760e-04	1.49039488e-04
7.01353500e-02	9.60956380e-04	1.42008268e-04
7.12804500e-02	1.05836354e-03	1.38789260e-04
7.24255400e-02	9.11120480e-04	1.37995258e-04
7.35706400e-02	8.33046320e-04	1.34456658e-04
7.47157300e-02	8.35254020e-04	1.33825463e-04
7.58608300e-02	7.04571800e-04	1.42892617e-04
7.70059200e-02	6.14609800e-04	1.37812757e-04
7.81510200e-02	8.99321150e-04	1.38403919e-04
7.92961100e-02	6.12375220e-04	1.31946304e-04
8.04412100e-02	6.74191720e-04	1.37304363e-04
8.15863000e-02	4.14133080e-04	1.35488209e-04
8.27314000e-02	6.89671160e-04	1.30394211e-04
8.38764900e-02	5.24867700e-04	3.53566297e-04
8.50215900e-02	8.39744570e-04	5.82164883e-03
8.61666800e-02	7.97366340e-04	1.30849762e-04
8.73117700e-02	3.74529720e-04	1.33082431e-04
8.84568700e-02	6.86217900e-04	1.24694442e-04
8.96019600e-02	4.80559580e-04	1.32572344e-04
9.07470600e-02	4.18274100e-04	1.29887857e-04
9.18921500e-02	6.00837800e-04	1.23824662e-04
9.30372500e-02	6.50392560e-04	1.30310176e-04
9.41823400e-02	3.68283360e-04	1.32471362e-04
9.53274400e-02	5.53633900e-04	1.24095367e-04
9.64725300e-02	4.59070980e-04	1.22381509e-04
9.76176300e-02	3.23934780e-04	1.26059580e-04
9.87627200e-02	5.16618020e-04	1.20409205e-04
9.99078200e-02	5.38733600e-04	1.20121294e-04
1.01052900e-01	5.01595060e-04	1.18672304e-04
1.02198000e-01	4.28380090e-04	1.17463988e-04
1.03343100e-01	3.43666240e-04	1.16726401e-04
1.04488200e-01	3.95928370e-04	1.19085089e-04
1.05633300e-01	5.15346670e-04	1.14340724e-04
1.06778400e-01	5.01122920e-04	1.17319887e-04
1.07923500e-01	4.58505980e-04	1.18544227e-04
1.09068600e-01	3.59992710e-04	1.14045921e-04
1.10213700e-01	4.30315230e-04	1.12772031e-04
1.11358800e-01	4.65629180e-04	1.13983830e-04
1.12503900e-01	2.67790870e-04	1.11417103e-04
1.13649000e-01	4.04578600e-04	1.18261948e-04
1.14794100e-01	4.22200480e-04	1.17210002e-04
1.15939100e-01	3.83650020e-04	1.12976844e-04
1.17084200e-01	5.10097900e-04	1.11411616e-04
1.18229300e-01	5.27015680e-04	1.10071031e-04
1.19374400e-01	4.25891220e-04	1.10354186e-04
1.20519500e-01	2.99160080e-04	1.11371289e-04
1.21664600e-01	3.15607220e-04	1.07918995e-04
1.22809700e-01	5.14126080e-04	1.07008584e-04
1.23954800e-01	2.83450800e-04	1.15876983e-04
1.25099900e-01	3.41073780e-04	1.05917079e-04
1.26245000e-01	2.29432430e-04	1.13200681e-04
1.27390100e-01	2.46508030e-04	1.10478066e-04
1.28535200e-01	6.45667560e-04	1.04470052e-04
1.29680300e-01	4.36296770e-04	1.03511148e-04
1.30825400e-01	2.71458990e-04	1.07072957e-04
1.31970500e-01	5.81518360e-04	1.06838619e-04
1.33115600e-01	1.22120500e-04	1.07191246e-04
1.34260700e-01	2.98499740e-04	1.06055759e-04
1.35405800e-01	1.77202620e-04	1.09144675e-04
1.36550900e-01	2.90864360e-04	1.01182487e-04
1.37695900e-01	2.93166540e-04	1.04688026e-04
1.38841000e-01	4.47262610e-04	1.03773410e-04
1.39986100e-01	4.05019740e-04	1.03468356e-04
1.41131200e-01	2.71477320e-04	1.02849645e-04
1.42276300e-01	2.30488160e-04	1.00392070e-04
1.43421400e-01	4.16299080e-04	1.01450522e-04
1.44566500e-01	2.06168380e-04	1.03431164e-04
1.45711600e-01	1.71661110e-04	1.03374226e-04
1.46856700e-01	9.41381500e-05	1.03217772e-04
1.49146900e-01	2.95329387e-04	5.82965142e-05
1.52582200e-01	3.00206680e-04	5.73659042e-05
1.56017500e-01	2.25930550e-04	5.68268473e-05
1.59452800e-01	2.19073167e-04	5.55737117e-05
1.62888000e-01	2.26514120e-04	5.64876412e-05
1.66323300e-01	2.26753807e-04	5.42553788e-05
1.69758600e-01	2.16018087e-04	5.36904401e-05
1.73193900e-01	2.08698890e-04	5.35453941e-05
1.76629200e-01	1.34850230e-04	5.34593646e-05
1.80064500e-01	2.18298053e-04	5.29634971e-05
1.83499700e-01	1.74245223e-04	5.20728390e-05
1.86935000e-01	1.49644743e-04	5.28138064e-05
1.90370300e-01	2.40027680e-04	5.17111274e-05
1.93805600e-01	2.73712447e-04	1.19962167e-03
1.97240900e-01	2.79575137e-04	5.05501052e-05
2.01821300e-01	2.58652980e-04	3.80085977e-05
2.07546700e-01	2.31684618e-04	3.80763122e-05
2.13272200e-01	1.71276394e-04	3.77192033e-05
2.18997700e-01	1.89328084e-04	3.69341904e-05
2.24723200e-01	1.47316068e-04	3.70924732e-05
2.30448600e-01	6.35845460e-05	4.77613980e-05
2.36174100e-01	1.11473628e-04	5.39869880e-05
2.41899600e-01	1.40215842e-04	3.59263244e-05
2.47625100e-01	1.69069520e-04	7.54864730e-04
2.53350500e-01	2.02203414e-04	7.70741793e-04
2.59076000e-01	1.77855058e-04	7.23338852e-04
2.64801500e-01	1.37349006e-04	5.64253695e-05
2.70527000e-01	1.71180934e-04	7.21664719e-04
2.76252400e-01	8.74061500e-05	6.97235718e-04
2.81977900e-01	1.21825668e-04	3.33343208e-05
2.87703400e-01	1.50823180e-04	3.29337107e-05
2.93428800e-01	1.16119018e-04	1.05959161e-03
3.00299400e-01	1.21866020e-04	2.70177998e-05
3.08315100e-01	1.29993860e-04	5.52963582e-04
3.16330700e-01	1.36929224e-04	5.74061330e-04
3.24346400e-01	1.17438346e-04	9.01319789e-04
3.32362100e-01	8.35329086e-05	5.03427335e-04
3.40377700e-01	1.06113199e-04	2.58916201e-05
3.48393400e-01	9.03053857e-05	5.07051524e-04
3.56409100e-01	8.25149529e-05	7.87797372e-04
3.64424700e-01	6.04067614e-05	6.22188487e-05
3.72440400e-01	8.68278129e-05	2.48931890e-05
3.80456100e-01	6.51530900e-05	2.46108198e-05
3.88471700e-01	4.77678757e-05	2.46184907e-05
3.96487400e-01	6.39336686e-05	2.41189726e-05
4.05648100e-01	9.60365444e-05	2.12401030e-05
4.15954000e-01	6.31213911e-05	3.94058101e-04
4.26259900e-01	6.38669644e-05	2.09769066e-05
4.36565700e-01	6.70062600e-05	2.08448661e-05
4.46871600e-01	1.02792066e-04	3.11284588e-05
4.57177400e-01	1.04408361e-04	4.01248277e-04
4.67483300e-01	1.12339021e-04	7.74568605e-04
4.77789100e-01	8.90961878e-05	6.03721384e-04
4.88095000e-01	9.84723522e-05	3.39493521e-05
4.99545900e-01	6.82089427e-05	1.79856260e-05
5.12142000e-01	1.19521601e-04	8.33119160e-04
5.24738000e-01	8.54038200e-05	6.02445597e-04
5.37334100e-01	1.06172427e-04	2.81569101e-05
5.49930100e-01	8.02436982e-05	5.14900409e-04
5.62526100e-01	6.35319545e-05	2.80488619e-05
5.75122200e-01	8.94468264e-05	2.02248398e-05
5.87718200e-01	9.62457236e-05	2.10590573e-05
6.01459400e-01	5.77449592e-05	2.38827659e-05
6.16345600e-01	9.22525631e-05	4.52696987e-04
6.31231800e-01	6.11390285e-05	3.03733045e-04
6.46118100e-01	1.07670028e-04	1.98048173e-05
6.61004300e-01	7.05429500e-05	2.01664515e-05
6.75890500e-01	9.07906108e-05	2.05907652e-05
6.90776800e-01	8.12707015e-05	2.09635635e-05
7.06808100e-01	5.94962180e-05	5.05522076e-04
7.23984500e-01	8.92377313e-05	2.02496641e-05
7.41160900e-01	8.59085967e-05	2.56155033e-05
7.58337400e-01	6.62498620e-05	2.06502286e-05
7.75513800e-01	7.18303753e-05	4.37892572e-04
7.92690200e-01	5.56398573e-05	4.39676461e-04
8.11011700e-01	9.25022265e-05	1.97099114e-05
8.30478300e-01	1.11000094e-04	1.99109077e-05
8.49945000e-01	1.00333958e-04	3.98808042e-04
8.69411600e-01	9.21297494e-05	1.99128594e-05
8.88878200e-01	1.04193954e-04	2.39094955e-05
9.09489900e-01	5.84901032e-05	2.44248679e-04
9.31246700e-01	1.01529676e-04	2.91523012e-05
9.53003500e-01	9.39735537e-05	2.75445596e-04
9.74760300e-01	7.74574211e-05	2.82731835e-04
9.97662200e-01	1.17983415e-04	5.64571036e-04
1.02170900e+00	1.00903369e-04	3.48775702e-04
1.04575600e+00	6.87910562e-05	2.15154324e-05
1.06980300e+00	1.19526873e-04	3.67067076e-04
1.09499500e+00	8.84501748e-05	2.08003444e-05
1.12133200e+00	5.91508022e-05	3.48186159e-04
