q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_2p5wt_merged_nmA.dat_00001_[nmA(PEG20k_2p5wt_merged.dat_00001_[merged(PEG_PEG20k_2p5wt_1621_noT_sub_mult_mult_sub.dat_00001_[sub(PEG_PEG20k_2p5wt_1621_noT_sub_mult_mult.dat_00001_[mult(PEG_PEG20k_2p5wt_1621_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_2p5wt_1621_noT_sub.dat_00001_[sub(PEG_PEG20k_2p5wt_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)]*0.7250)]-PEG_Water_1621_noT_sub_mult.dat_00001_[mult(PEG_Water_1621_noT_sub.dat_00001_[sub(PEG_Water_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)])]PEG_PEG20k_2p5wt_300_noT_sub_mult_sub.dat_00001_[sub(PEG_PEG20k_2p5wt_300_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_2p5wt_300_noT_sub.dat_00001_[sub(PEG_PEG20k_2p5wt_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])]*0.7800)]-PEG_Water_300_noT_sub.dat_00001_[sub(PEG_Water_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])])],scale_low,lq=0.3530,hq=0.5319)])],1,0.0050)	error
4.01205600e-03	1.60053612e-01	4.42987915e-02
4.22636500e-03	7.48858415e-02	3.49753173e-02
4.44067400e-03	5.87305927e-02	2.79619220e-02
4.65498300e-03	4.18945304e-02	2.48449986e-02
4.86929200e-03	4.37759014e-02	1.97146205e-02
5.08360200e-03	2.77249999e-02	1.63122033e-02
5.29791100e-03	2.77311177e-02	1.48470573e-02
5.51222000e-03	3.40310122e-02	1.27715694e-02
5.72652900e-03	1.05660724e-02	1.11573885e-02
5.94083800e-03	1.39458194e-02	1.01398017e-02
6.15514700e-03	2.02034921e-02	9.89071425e-03
6.36945600e-03	8.47344148e-03	8.71204710e-03
6.58376600e-03	8.07297165e-03	8.09072377e-03
6.79807500e-03	1.73736692e-02	7.51901110e-03
7.01238400e-03	1.63776551e-02	6.67276068e-03
7.22669300e-03	4.63491325e-03	6.91527728e-03
7.44100200e-03	1.24965750e-02	6.04129261e-03
7.65531100e-03	7.39528640e-03	5.70061001e-03
7.86962000e-03	8.81088491e-03	5.30656581e-03
8.08393000e-03	1.61329700e-02	5.08616737e-03
8.29823900e-03	8.43704312e-03	4.71191298e-03
8.51254800e-03	1.01519263e-02	4.47194848e-03
8.72685700e-03	1.35244864e-02	1.73432366e-02
8.94116600e-03	1.46589206e-02	2.04254611e-01
9.15547500e-03	5.56554401e-03	1.64959016e-02
9.36978400e-03	9.11276633e-03	6.51765485e-03
9.58409400e-03	7.96863792e-03	3.49515458e-03
9.79840300e-03	1.14777412e-02	3.53216201e-03
1.00127100e-02	1.12285911e-02	3.25435671e-03
1.02270200e-02	7.14469606e-03	3.24258506e-03
1.04413300e-02	1.39600744e-02	3.10760720e-03
1.06556400e-02	7.16577332e-03	3.03629894e-03
1.08699500e-02	6.26028068e-03	2.89163685e-03
1.10842600e-02	8.18131741e-03	2.83418927e-03
1.12985700e-02	5.51093063e-03	2.71831597e-03
1.15128800e-02	1.06402789e-02	2.73409041e-03
1.17271900e-02	4.97552572e-03	2.58698071e-03
1.19414900e-02	5.64054827e-03	2.42277398e-03
1.21558000e-02	4.09389676e-03	2.40901342e-03
1.23701100e-02	6.48889213e-03	2.30151208e-03
1.25844200e-02	4.92960858e-03	2.37239152e-03
1.27987300e-02	7.07325368e-03	9.58948862e-02
1.30130400e-02	6.47393004e-03	2.15676213e-03
1.32273500e-02	8.04980557e-03	2.10138480e-03
1.34416600e-02	5.63164311e-03	2.00164460e-03
1.36559700e-02	2.58889607e-03	2.07217824e-03
1.38702800e-02	6.36157225e-03	1.18697083e-01
1.40845900e-02	3.89335964e-03	5.90083656e-03
1.42988900e-02	6.98306327e-03	1.83517669e-03
1.45132000e-02	5.20437830e-03	1.81994044e-03
1.47275100e-02	3.95839404e-03	1.80083817e-03
1.49418200e-02	7.53811896e-03	1.75809118e-03
1.51561300e-02	5.70453730e-03	1.75556434e-03
1.53704400e-02	4.55312983e-03	1.72165477e-03
1.55847500e-02	5.28470388e-03	1.65894540e-03
1.57990600e-02	5.77394786e-03	1.64663343e-03
1.60133700e-02	2.59907200e-03	1.65018246e-03
1.62276800e-02	3.78565355e-03	1.52832971e-03
1.64419900e-02	3.48136076e-03	1.63120396e-03
1.66563000e-02	5.39559372e-03	1.48436179e-03
1.68706000e-02	5.29621647e-03	1.52484165e-03
1.70849100e-02	5.83218248e-03	1.43095351e-03
1.72992200e-02	6.30130531e-03	1.43510928e-03
1.75135300e-02	4.96759320e-03	1.40330912e-03
1.77278400e-02	4.88434950e-03	1.37739115e-03
1.79421500e-02	3.32453007e-03	1.37643388e-03
1.81564600e-02	4.72796967e-03	1.39231715e-03
1.83707700e-02	4.97815675e-03	1.32696599e-03
1.85850800e-02	4.64743638e-03	1.34357694e-03
1.87993900e-02	5.67669949e-03	1.27762414e-03
1.90137000e-02	3.78426723e-03	1.31322362e-03
1.92280100e-02	4.26341253e-03	1.22127320e-03
1.94423100e-02	5.30763813e-03	1.23225729e-03
1.96566200e-02	3.54256285e-03	1.21213642e-03
1.98709300e-02	3.64004100e-03	1.17664065e-03
2.00852400e-02	5.89321303e-03	1.17693390e-03
2.02995500e-02	2.66192257e-03	1.16397223e-03
2.05138600e-02	3.50838491e-03	1.14515271e-03
2.07281700e-02	4.73551600e-04	1.21265780e-03
2.09424800e-02	4.11785924e-03	1.07838175e-03
2.11567900e-02	3.46660791e-03	1.14034349e-03
2.13711000e-02	3.85918425e-03	1.08677719e-03
2.15854100e-02	3.90038644e-03	1.12781236e-03
2.17997100e-02	3.34675998e-03	1.07017624e-03
2.20140200e-02	4.71737209e-03	1.08383786e-03
2.22283300e-02	2.96757971e-03	1.07336526e-03
2.24426400e-02	2.53944065e-03	1.04491530e-03
2.26569500e-02	4.81316029e-03	9.87811001e-04
2.28712600e-02	2.49294227e-03	1.05408686e-03
2.30855700e-02	4.11352425e-03	1.01293269e-03
2.32998800e-02	3.17968930e-03	1.01997821e-03
2.35141900e-02	2.47734244e-03	1.00923260e-03
2.37285000e-02	5.06157251e-03	9.48202987e-04
2.39428100e-02	3.33285840e-03	9.43548469e-04
2.41571200e-02	3.40116657e-03	9.31619166e-04
2.43714200e-02	6.08175165e-04	9.60759021e-04
2.45857300e-02	2.04561271e-03	9.56751771e-04
2.48000400e-02	3.09654286e-03	9.55222950e-04
2.50143500e-02	3.33698410e-03	9.35224335e-04
2.52286600e-02	7.41384624e-04	9.31574239e-04
2.54429700e-02	2.10054391e-03	8.53307716e-04
