q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_005_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_005_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
1.32379100e-01	6.03693070e+00	3.97507496e-01
1.33377000e-01	5.65248040e+00	3.84150920e-01
1.34374900e-01	6.00988220e+00	3.96417325e-01
1.35372800e-01	5.55933240e+00	3.83790383e-01
1.36370600e-01	5.40726040e+00	3.73297439e-01
1.37368500e-01	4.94071930e+00	3.66713410e-01
1.38366400e-01	5.12814200e+00	3.67823431e-01
1.39364300e-01	4.82912300e+00	3.57752078e-01
1.40362200e-01	5.14007270e+00	3.70537140e-01
1.41360100e-01	5.05612130e+00	9.23567176e+00
1.42357900e-01	5.20348130e+00	9.28014792e+00
1.43355800e-01	4.39423420e+00	3.43739016e-01
1.44353700e-01	5.00064250e+00	3.59816409e-01
1.45351600e-01	4.64202610e+00	3.46444335e-01
1.46349500e-01	3.84445510e+00	3.27460510e-01
1.47347400e-01	4.47665380e+00	3.46511205e-01
1.48345300e-01	3.97793920e+00	3.25121522e-01
1.49343100e-01	4.79115800e+00	3.50852759e-01
1.50341000e-01	4.03455490e+00	3.28638225e-01
1.51338900e-01	3.58080230e+00	3.17803737e-01
1.52336800e-01	4.15278210e+00	3.33003211e-01
1.53334700e-01	4.38262790e+00	3.28573467e-01
1.54332600e-01	3.63961760e+00	8.42603226e+00
1.55330500e-01	3.97161560e+00	8.61604848e+00
1.56328300e-01	2.97843170e+00	2.98057484e-01
1.57326200e-01	3.30002430e+00	3.08826308e-01
1.58324100e-01	3.43102250e+00	3.04055153e-01
1.59322000e-01	3.46893380e+00	3.08223094e-01
1.60319900e-01	3.44205200e+00	3.06490733e-01
1.61317800e-01	3.33300370e+00	3.02823958e-01
1.62315700e-01	3.50653290e+00	3.05020320e-01
1.63313500e-01	2.80056250e+00	2.82874630e-01
1.64311400e-01	2.75606230e+00	2.86694627e-01
1.65309300e-01	3.10069220e+00	2.91120271e-01
1.66307200e-01	2.78825540e+00	2.83820634e-01
1.67305100e-01	3.21460230e+00	2.93276097e-01
1.68303000e-01	2.98466420e+00	2.84856495e-01
1.69300900e-01	2.79886360e+00	2.85000269e-01
1.70298700e-01	2.51411290e+00	2.72882845e-01
1.71296600e-01	2.92926150e+00	2.84529045e-01
1.72294500e-01	2.31136200e+00	2.66130200e-01
1.73292400e-01	2.97197960e+00	2.80919196e-01
1.74290300e-01	2.97488560e+00	2.84740920e-01
1.75288200e-01	2.44386300e+00	2.65666055e-01
1.76286100e-01	2.64230120e+00	2.73187398e-01
1.77283900e-01	2.47608000e+00	2.66422389e-01
1.78281800e-01	2.47467850e+00	2.69002450e-01
1.79279700e-01	2.22531230e+00	2.59953876e-01
1.80277600e-01	2.08607400e+00	2.53944020e-01
1.81275500e-01	1.96123390e+00	2.50953874e-01
1.82273400e-01	1.96624850e+00	2.50149704e-01
1.83271200e-01	2.33306220e+00	7.71882535e+00
1.84269100e-01	1.66292180e+00	7.29639927e+00
1.85267000e-01	2.05234250e+00	7.54792069e+00
1.86264900e-01	2.22381080e+00	7.67286685e+00
1.87262800e-01	1.96639250e+00	2.45648841e-01
1.88260700e-01	1.70901750e+00	2.40167969e-01
1.89258600e-01	1.65203100e+00	2.40488445e-01
1.90256400e-01	1.97808520e+00	7.50951157e+00
1.91254300e-01	1.76561710e+00	7.35161408e+00
1.92252200e-01	1.93633700e+00	2.43155073e-01
1.93250100e-01	1.81750510e+00	2.38931897e-01
1.94248000e-01	1.72991940e+00	2.36717241e-01
1.95245900e-01	1.78802860e+00	2.35297091e-01
1.96243800e-01	1.72039530e+00	2.39326890e-01
1.97241600e-01	1.63478160e+00	2.33107908e-01
1.98239500e-01	1.41330360e+00	2.26883627e-01
1.99237400e-01	2.13281770e+00	2.45478988e-01
2.00235300e-01	1.67657370e+00	2.30110447e-01
2.01233200e-01	1.33696530e+00	2.22303817e-01
2.02231100e-01	1.19458270e+00	2.15491800e-01
2.03229000e-01	9.04495600e-01	2.08278625e-01
2.04226800e-01	1.54272890e+00	2.26051399e-01
2.05224700e-01	1.02555500e+00	2.09994761e-01
2.06222600e-01	1.25926440e+00	2.17842342e-01
2.07220500e-01	1.15268380e+00	2.12606446e-01
2.08218400e-01	1.49336410e+00	2.23401629e-01
2.09216300e-01	9.41997500e-01	2.07566108e-01
2.10214200e-01	9.11494800e-01	2.06011486e-01
2.11212000e-01	1.37721390e+00	2.18216404e-01
2.12209900e-01	1.28823460e+00	2.13680313e-01
2.13207800e-01	1.14999360e+00	2.11116964e-01
2.14205700e-01	1.38135760e+00	7.09810768e+00
2.15203600e-01	8.58418900e-01	6.75010183e+00
2.16201500e-01	1.12424230e+00	2.10106405e-01
2.17199400e-01	1.15950820e+00	7.03536228e+00
2.18197200e-01	1.08645610e+00	6.92390327e+00
2.19195100e-01	1.00311600e+00	6.90203904e+00
