q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_015_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_015_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
0.00000000e+00	-2.44999930e+02	0.00000000e+00
0.00000000e+00	1.04999970e+02	0.00000000e+00
2.26117100e-02	1.54470660e+01	4.70520334e+00
2.36095900e-02	3.01580880e+01	4.76651352e+00
2.46074800e-02	1.77915160e+01	2.43211343e+00
2.56053600e-02	2.18017010e+01	2.25305978e+00
2.66032500e-02	1.78811665e+01	1.85479431e+00
2.76011300e-02	1.87618888e+01	1.64120574e+00
2.85990200e-02	2.00742615e+01	1.51546638e+00
2.95969000e-02	2.04925808e+01	1.38915204e+00
3.05947900e-02	1.83492884e+01	1.22780989e+00
3.15926800e-02	1.84716765e+01	1.21252084e+00
3.25905600e-02	1.94287948e+01	1.20077931e+00
3.35884500e-02	1.93119537e+01	1.14566742e+00
3.45863300e-02	1.71642759e+01	1.09636874e+00
3.55842200e-02	1.77956072e+01	1.06793468e+00
3.65821000e-02	1.73820666e+01	1.05067878e+00
3.75799900e-02	1.82350727e+01	1.04560394e+00
3.85778700e-02	1.98230400e+01	1.04326454e+00
3.95757600e-02	2.04205677e+01	1.05441364e+00
4.05736400e-02	1.83598725e+01	9.77777330e-01
4.15715300e-02	1.77948832e+01	9.81795640e-01
4.25694100e-02	1.86412875e+01	1.49136138e+01
4.35673000e-02	1.70741038e+01	1.44070557e+01
4.45651900e-02	1.69384590e+01	1.43301125e+01
4.55630700e-02	1.80811857e+01	9.07279767e-01
4.65609600e-02	1.72947143e+01	1.44130313e+01
4.75588400e-02	1.68556900e+01	1.42310299e+01
4.85567300e-02	1.70845207e+01	1.43041997e+01
4.95546100e-02	1.61820588e+01	1.40243364e+01
5.05525000e-02	1.77141145e+01	8.59741791e-01
5.15503800e-02	1.69336250e+01	8.38140116e-01
5.25482700e-02	1.60586892e+01	8.18853629e-01
5.35461500e-02	1.77555971e+01	8.44629062e-01
5.45440400e-02	1.59732883e+01	8.05373345e-01
5.55419200e-02	1.51649247e+01	7.70455256e-01
5.65398100e-02	1.64508582e+01	8.20486604e-01
5.75376900e-02	1.61556927e+01	7.87561201e-01
5.85355800e-02	1.64227544e+01	8.02325399e-01
5.95334700e-02	1.55579389e+01	7.78415316e-01
6.05313500e-02	1.61512033e+01	7.69325360e-01
6.15292400e-02	1.42326734e+01	7.53716981e-01
6.25271200e-02	1.54033346e+01	7.57183302e-01
6.35250100e-02	1.47304088e+01	7.40452572e-01
6.45228900e-02	1.50501673e+01	7.42467391e-01
6.55207800e-02	1.43241979e+01	7.18911323e-01
6.65186600e-02	1.30377973e+01	7.12128129e-01
6.75165500e-02	1.50360695e+01	7.27599587e-01
6.85144300e-02	1.44004863e+01	7.23731347e-01
6.95123200e-02	1.40078705e+01	6.93702081e-01
7.05102000e-02	1.53332826e+01	7.31697583e-01
7.15080900e-02	1.39068237e+01	6.99657359e-01
7.25059700e-02	1.37853519e+01	1.29240424e+01
7.35038600e-02	1.27024244e+01	1.25672637e+01
7.45017500e-02	1.33882071e+01	1.28074049e+01
7.54996300e-02	1.35082417e+01	6.81280273e-01
7.64975200e-02	1.34167623e+01	6.70772437e-01
7.74954000e-02	1.27975435e+01	6.52541754e-01
7.84932900e-02	1.20644199e+01	6.37196313e-01
7.94911700e-02	1.22614725e+01	6.26367891e-01
8.04890600e-02	1.29556336e+01	6.58230117e-01
8.14869400e-02	1.15708152e+01	6.11603450e-01
8.24848300e-02	1.28174907e+01	6.36821958e-01
8.34827100e-02	1.36604081e+01	6.54281793e-01
8.44806000e-02	1.18423068e+01	6.10570225e-01
8.54784800e-02	1.19559358e+01	6.15275298e-01
8.64763700e-02	1.01175282e+01	5.70960575e-01
8.74742600e-02	1.21241828e+01	6.05230047e-01
8.84721400e-02	1.14236008e+01	5.97978073e-01
8.94700300e-02	1.06067619e+01	5.74034684e-01
9.04679100e-02	1.19440716e+01	6.01059548e-01
9.14658000e-02	1.10319114e+01	5.71176151e-01
9.24636800e-02	1.03393664e+01	5.59661817e-01
9.34615700e-02	1.15047306e+01	5.86903654e-01
9.44594500e-02	9.60772620e+00	5.38670988e-01
9.54573400e-02	9.85257520e+00	5.47155941e-01
9.64552200e-02	9.84858120e+00	5.35797110e-01
9.74531100e-02	9.77190780e+00	5.39460204e-01
9.84509900e-02	9.95456630e+00	1.13933836e+01
9.94488800e-02	9.83997490e+00	1.13628602e+01
1.00446800e-01	9.25186500e+00	5.21388769e-01
1.01444700e-01	9.49478320e+00	1.12110361e+01
1.02442500e-01	9.75597370e+00	1.13239586e+01
1.03440400e-01	9.01609230e+00	1.10378060e+01
1.04438300e-01	8.54494890e+00	4.90689316e-01
1.05436200e-01	8.89034780e+00	5.02103010e-01
1.06434100e-01	9.01401780e+00	5.00370779e-01
1.07432000e-01	8.91574430e+00	5.02930671e-01
1.08429800e-01	9.12786500e+00	5.02759867e-01
1.09427700e-01	9.80725180e+00	5.11181830e-01
1.10425600e-01	8.30990390e+00	4.80838415e-01
1.11423500e-01	8.74931320e+00	1.08754214e+01
1.12421400e-01	8.62842500e+00	1.08542396e+01
1.13419300e-01	7.52728700e+00	4.60092986e-01
1.14417200e-01	7.75446040e+00	4.54153108e-01
1.15415000e-01	7.94827740e+00	4.68230393e-01
1.16412900e-01	7.75221940e+00	4.58099947e-01
1.17410800e-01	7.31190670e+00	4.44907686e-01
1.18408700e-01	7.87635520e+00	4.61296642e-01
1.19406600e-01	7.51861850e+00	4.45521760e-01
1.20404500e-01	6.93460590e+00	4.39678732e-01
1.21402400e-01	7.38571040e+00	4.40607403e-01
1.22400200e-01	6.83290800e+00	4.25967614e-01
1.23398100e-01	7.29071740e+00	4.34958443e-01
1.24396000e-01	6.36311040e+00	4.16118550e-01
1.25393900e-01	6.65769080e+00	4.24888130e-01
1.26391800e-01	6.49601750e+00	4.10747099e-01
1.27389700e-01	6.12844090e+00	4.06494472e-01
1.28387600e-01	6.70414750e+00	9.98289653e+00
1.29385400e-01	4.84623230e+00	9.15458278e+00
1.30383300e-01	5.37008270e+00	3.88211842e-01
1.31381200e-01	5.94406980e+00	3.91066142e-01
1.32379100e-01	5.94586470e+00	3.95415714e-01
1.33377000e-01	5.38736640e+00	3.78002891e-01
1.34374900e-01	5.72082120e+00	3.89774908e-01
1.35372800e-01	6.54306140e+00	4.06066496e-01
1.36370600e-01	4.85898440e+00	3.60495546e-01
1.37368500e-01	5.06443930e+00	3.69682917e-01
1.38366400e-01	5.12814200e+00	3.67823431e-01
1.39364300e-01	5.24349900e+00	3.67615267e-01
1.40362200e-01	4.70167370e+00	3.60013934e-01
1.41360100e-01	4.38489530e+00	8.90409177e+00
1.42357900e-01	4.11110830e+00	8.73684834e+00
1.43355800e-01	4.10896320e+00	3.36703861e-01
1.44353700e-01	4.69515750e+00	3.52538494e-01
1.45351600e-01	4.92256910e+00	3.53062832e-01
1.46349500e-01	4.43636610e+00	3.41997902e-01
1.47347400e-01	4.54415580e+00	3.48151007e-01
1.48345300e-01	3.92993520e+00	3.23938006e-01
1.49343100e-01	4.60895900e+00	3.46525374e-01
1.50341000e-01	4.19630390e+00	3.32594831e-01
1.51338900e-01	3.80643530e+00	3.23474444e-01
1.52336800e-01	3.79172110e+00	3.23983806e-01
1.53334700e-01	4.01374090e+00	3.19829094e-01
1.54332600e-01	3.68779460e+00	8.45161125e+00
1.55330500e-01	4.22270760e+00	8.74564493e+00
1.56328300e-01	3.63639770e+00	3.14874349e-01
1.57326200e-01	3.73361430e+00	3.19901105e-01
1.58324100e-01	3.73426750e+00	3.11524366e-01
1.59322000e-01	3.43787380e+00	3.07439567e-01
1.60319900e-01	2.90224000e+00	2.92593458e-01
1.61317800e-01	3.17903670e+00	2.98884193e-01
1.62315700e-01	3.74995290e+00	3.11031639e-01
1.63313500e-01	3.28772750e+00	2.95313172e-01
1.64311400e-01	3.47232330e+00	3.05138154e-01
1.65309300e-01	2.65561520e+00	2.79549439e-01
1.66307200e-01	2.48906140e+00	2.75822859e-01
1.67305100e-01	3.06550330e+00	2.89461237e-01
1.68303000e-01	2.58192820e+00	2.74500468e-01
1.69300900e-01	2.61783560e+00	2.80168261e-01
1.70298700e-01	2.28173990e+00	2.66627484e-01
1.71296600e-01	2.85628950e+00	2.82651303e-01
