q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_000_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_000_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
0.00000000e+00	-2.44999930e+02	0.00000000e+00
0.00000000e+00	1.04999970e+02	0.00000000e+00
2.26117100e-02	2.03348160e+01	5.11083467e+00
2.36095900e-02	2.11972080e+01	4.20726399e+00
2.46074800e-02	1.91356460e+01	2.49324831e+00
2.56053600e-02	1.71489310e+01	2.06748509e+00
2.66032500e-02	2.20169565e+01	2.00260355e+00
2.76011300e-02	2.07649088e+01	1.70432339e+00
2.85990200e-02	1.92912715e+01	1.49282294e+00
2.95969000e-02	1.84359908e+01	1.33367483e+00
3.05947900e-02	2.21717584e+01	1.32175962e+00
3.15926800e-02	2.08200365e+01	1.27095843e+00
3.25905600e-02	1.81907748e+01	1.16999479e+00
3.35884500e-02	2.11041237e+01	1.18738538e+00
3.45863300e-02	1.87130659e+01	1.13476643e+00
3.55842200e-02	1.88709072e+01	1.09340931e+00
3.65821000e-02	2.00295966e+01	1.11297912e+00
3.75799900e-02	1.81863727e+01	1.04446933e+00
3.85778700e-02	1.79580900e+01	1.00178343e+00
3.95757600e-02	1.83175077e+01	1.00778918e+00
4.05736400e-02	1.83598725e+01	9.77777330e-01
4.15715300e-02	1.75719732e+01	9.76721628e-01
4.25694100e-02	1.74011675e+01	1.45362700e+01
4.35673000e-02	1.68351438e+01	1.43325518e+01
4.45651900e-02	1.61131190e+01	1.40696857e+01
4.55630700e-02	1.79286557e+01	9.04068935e-01
4.65609600e-02	1.59824543e+01	1.39991589e+01
4.75588400e-02	1.72945900e+01	1.43685446e+01
4.85567300e-02	1.77220507e+01	1.45025171e+01
4.95546100e-02	1.74168288e+01	1.44134201e+01
5.05525000e-02	1.65590045e+01	8.35896541e-01
5.15503800e-02	1.49886250e+01	7.96821858e-01
5.25482700e-02	1.73042192e+01	8.44756812e-01
5.35461500e-02	1.57190271e+01	8.02665429e-01
5.45440400e-02	1.68524683e+01	8.23623295e-01
5.55419200e-02	1.68147647e+01	8.04346383e-01
5.65398100e-02	1.70345182e+01	8.32608553e-01
5.75376900e-02	1.61235727e+01	7.86906047e-01
5.85355800e-02	1.58627044e+01	7.90743593e-01
5.95334700e-02	1.63960089e+01	7.95577876e-01
6.05313500e-02	1.59048533e+01	7.64379248e-01
6.15292400e-02	1.39710434e+01	7.48019332e-01
6.25271200e-02	1.50610846e+01	7.50118431e-01
6.35250100e-02	1.46996188e+01	7.39811996e-01
6.45228900e-02	1.47148973e+01	7.35553545e-01
6.55207800e-02	1.45332879e+01	7.23241859e-01
6.65186600e-02	1.40790273e+01	7.34833173e-01
6.75165500e-02	1.41282595e+01	7.09096026e-01
6.85144300e-02	1.40697163e+01	7.16826888e-01
6.95123200e-02	1.36392305e+01	6.86125974e-01
7.05102000e-02	1.34235926e+01	6.92296596e-01
7.15080900e-02	1.25976037e+01	6.71885643e-01
7.25059700e-02	1.43524919e+01	1.31191864e+01
7.35038600e-02	1.31604844e+01	1.27295211e+01
7.45017500e-02	1.34955171e+01	1.28448950e+01
7.54996300e-02	1.41281817e+01	6.93982658e-01
7.64975200e-02	1.36366523e+01	6.75263031e-01
7.74954000e-02	1.26617735e+01	6.49710702e-01
7.84932900e-02	1.22005999e+01	6.40100181e-01
7.94911700e-02	1.32225025e+01	6.45986013e-01
8.04890600e-02	1.22999536e+01	6.44479683e-01
8.14869400e-02	1.28954652e+01	6.39112458e-01
8.24848300e-02	1.22995207e+01	6.26200836e-01
8.34827100e-02	1.23097881e+01	6.26900418e-01
8.44806000e-02	1.28577068e+01	6.31325440e-01
8.54784800e-02	1.26728058e+01	6.30013780e-01
8.64763700e-02	1.25591182e+01	6.22457321e-01
8.74742600e-02	1.06020628e+01	5.73528297e-01
8.84721400e-02	1.21264108e+01	6.12550980e-01
8.94700300e-02	1.15151219e+01	5.93141168e-01
9.04679100e-02	1.04505916e+01	5.69831000e-01
9.14658000e-02	1.11262314e+01	5.73119967e-01
9.24636800e-02	1.15133864e+01	5.84251978e-01
9.34615700e-02	1.09025206e+01	5.74412462e-01
9.44594500e-02	1.10778762e+01	5.69625498e-01
9.54573400e-02	9.37845520e+00	5.36786800e-01
9.64552200e-02	1.01661812e+01	5.42479104e-01
9.74531100e-02	9.98029780e+00	5.43914167e-01
9.84509900e-02	9.51118630e+00	1.12176715e+01
9.94488800e-02	1.00634349e+01	1.14506307e+01
1.00446800e-01	9.02558500e+00	5.16455051e-01
1.01444700e-01	9.71603320e+00	1.12991130e+01
1.02442500e-01	1.05505337e+01	1.16340871e+01
1.03440400e-01	8.49694230e+00	1.08250210e+01
1.04438300e-01	9.22768890e+00	5.05314158e-01
1.05436200e-01	9.40981780e+00	5.13177610e-01
1.06434100e-01	8.77932780e+00	4.95342028e-01
1.07432000e-01	9.15383430e+00	5.08028149e-01
1.08429800e-01	8.51061500e+00	4.89519492e-01
1.09427700e-01	8.03179180e+00	4.73520126e-01
1.10425600e-01	8.66666390e+00	4.88561544e-01
1.11423500e-01	7.98712320e+00	1.05567489e+01
1.12421400e-01	7.88340500e+00	1.05422302e+01
1.13419300e-01	8.39847700e+00	4.79329318e-01
1.14417200e-01	7.47752040e+00	4.48081436e-01
1.15415000e-01	8.07159740e+00	4.70929031e-01
1.16412900e-01	7.53316940e+00	4.53314190e-01
1.17410800e-01	7.66718070e+00	4.52719748e-01
1.18408700e-01	7.13296220e+00	4.44813002e-01
1.19406600e-01	6.74613150e+00	4.28452031e-01
1.20404500e-01	6.89460290e+00	4.38767830e-01
1.21402400e-01	7.28976540e+00	4.38513386e-01
1.22400200e-01	5.87962300e+00	4.04070964e-01
1.23398100e-01	6.15642940e+00	4.09567330e-01
1.24396000e-01	6.83975340e+00	4.26898324e-01
1.25393900e-01	7.09996580e+00	4.34781044e-01
1.26391800e-01	6.69841950e+00	4.15255782e-01
1.27389700e-01	6.20358490e+00	4.08227119e-01
1.28387600e-01	5.74733950e+00	9.54381328e+00
1.29385400e-01	5.52984630e+00	9.48325714e+00
1.30383300e-01	6.19149670e+00	4.07483704e-01
1.31381200e-01	6.29755580e+00	3.98974144e-01
1.32379100e-01	5.72730670e+00	3.90349811e-01
1.33377000e-01	5.84689840e+00	3.88597573e-01
1.34374900e-01	4.92590520e+00	3.70895199e-01
1.35372800e-01	5.38047240e+00	3.79599763e-01
1.36370600e-01	4.77331640e+00	3.58453970e-01
1.37368500e-01	5.43560030e+00	3.78451394e-01
1.38366400e-01	5.77068500e+00	3.82691153e-01
1.39364300e-01	4.79459200e+00	3.56917846e-01
1.40362200e-01	5.29789570e+00	3.74253109e-01
1.41360100e-01	5.24070930e+00	9.32478925e+00
1.42357900e-01	5.30589130e+00	9.32945978e+00
1.43355800e-01	4.66272520e+00	3.50231380e-01
1.44353700e-01	4.38967350e+00	3.45107067e-01
1.45351600e-01	4.62552310e+00	3.46051090e-01
1.46349500e-01	4.28838810e+00	3.38422052e-01
1.47347400e-01	4.00414080e+00	3.34807609e-01
1.48345300e-01	4.10595220e+00	3.28256589e-01
1.49343100e-01	4.27768800e+00	3.38515632e-01
1.50341000e-01	3.72723290e+00	3.20986191e-01
1.51338900e-01	3.53245230e+00	3.16575401e-01
1.52336800e-01	4.18560510e+00	3.33811105e-01
1.53334700e-01	3.64485390e+00	3.10838723e-01
1.54332600e-01	4.04109060e+00	8.63687271e+00
1.55330500e-01	3.79898860e+00	8.52580866e+00
1.56328300e-01	4.35702770e+00	3.32317907e-01
1.57326200e-01	3.70149730e+00	3.19093933e-01
1.58324100e-01	3.94653850e+00	3.16647945e-01
1.59322000e-01	3.84165680e+00	3.17474224e-01
1.60319900e-01	3.44205200e+00	3.06490733e-01
1.61317800e-01	3.94887170e+00	3.18095386e-01
1.62315700e-01	3.03490790e+00	2.93022547e-01
1.63313500e-01	2.77103750e+00	2.82103172e-01
1.64311400e-01	3.16753130e+00	2.97429708e-01
1.65309300e-01	3.50126120e+00	3.01154172e-01
1.66307200e-01	3.34176540e+00	2.98051218e-01
1.67305100e-01	3.24442230e+00	2.94033199e-01
1.68303000e-01	2.91274720e+00	2.83035033e-01
1.69300900e-01	2.36137960e+00	2.73176572e-01
1.70298700e-01	2.97885890e+00	2.84981837e-01
1.71296600e-01	3.07520350e+00	2.88247627e-01
