q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_025_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_025_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
0.00000000e+00	-2.44999930e+02	0.00000000e+00
0.00000000e+00	1.04999970e+02	0.00000000e+00
2.26117100e-02	1.70763160e+01	4.84418978e+00
2.36095900e-02	2.56776480e+01	4.49559355e+00
2.46074800e-02	1.95836860e+01	2.51329646e+00
2.56053600e-02	2.09400710e+01	2.21986509e+00
2.66032500e-02	2.14655165e+01	1.98353208e+00
2.76011300e-02	1.85510488e+01	1.63441996e+00
2.85990200e-02	1.76382915e+01	1.44385381e+00
2.95969000e-02	1.93173908e+01	1.35772870e+00
3.05947900e-02	1.90385884e+01	1.24527581e+00
3.15926800e-02	1.98312565e+01	1.24668674e+00
3.25905600e-02	2.07257648e+01	1.23220604e+00
3.35884500e-02	1.90947137e+01	1.14050702e+00
3.45863300e-02	1.78833559e+01	1.11436060e+00
3.55842200e-02	1.94853672e+01	1.10770390e+00
3.65821000e-02	1.75857166e+01	1.05560205e+00
3.75799900e-02	1.82837727e+01	1.04673757e+00
3.85778700e-02	1.72303000e+01	9.85122004e-01
3.95757600e-02	1.79517577e+01	9.99458290e-01
4.05736400e-02	1.90887425e+01	9.93629222e-01
4.15715300e-02	1.89540032e+01	1.00776921e+00
4.25694100e-02	1.67611075e+01	1.43376368e+01
4.35673000e-02	1.67554938e+01	1.43076270e+01
4.45651900e-02	2.01219290e+01	1.52930909e+01
4.55630700e-02	1.82718457e+01	9.11277496e-01
4.65609600e-02	1.82320443e+01	1.47015188e+01
4.75588400e-02	1.76603400e+01	1.44821506e+01
4.85567300e-02	1.61636307e+01	1.40127814e+01
4.95546100e-02	1.53353588e+01	1.37511787e+01
5.05525000e-02	1.75040945e+01	8.55455691e-01
5.15503800e-02	1.76629950e+01	8.53118772e-01
5.25482700e-02	1.76501992e+01	8.51812309e-01
5.35461500e-02	1.72464571e+01	8.34336018e-01
5.45440400e-02	1.56351383e+01	7.98243034e-01
5.55419200e-02	1.74294047e+01	8.16612909e-01
5.65398100e-02	1.65538582e+01	8.22638795e-01
5.75376900e-02	1.61235727e+01	7.86906047e-01
5.85355800e-02	1.68839744e+01	8.11739276e-01
5.95334700e-02	1.52678389e+01	7.72385567e-01
6.05313500e-02	1.60280333e+01	7.66856283e-01
6.15292400e-02	1.57697534e+01	7.86357494e-01
6.25271200e-02	1.56522546e+01	7.62280368e-01
6.35250100e-02	1.56234188e+01	7.58794298e-01
6.45228900e-02	1.43796273e+01	7.28574185e-01
6.55207800e-02	1.44138079e+01	7.20770420e-01
6.65186600e-02	1.50571473e+01	7.55540813e-01
6.75165500e-02	1.56510295e+01	7.39871419e-01
6.85144300e-02	1.41298563e+01	7.18087160e-01
6.95123200e-02	1.43198005e+01	7.00048544e-01
7.05102000e-02	1.39818126e+01	7.04041899e-01
7.15080900e-02	1.34122237e+01	6.89297387e-01
7.25059700e-02	1.39838519e+01	1.29926799e+01
7.35038600e-02	1.39907244e+01	1.30184665e+01
7.45017500e-02	1.38174671e+01	1.29567091e+01
7.54996300e-02	1.21274817e+01	6.52100054e-01
7.64975200e-02	1.39115323e+01	6.80834600e-01
7.74954000e-02	1.42638635e+01	6.82369091e-01
7.84932900e-02	1.29632299e+01	6.56124819e-01
7.94911700e-02	1.33523625e+01	6.48591606e-01
8.04890600e-02	1.35566636e+01	6.70587057e-01
8.14869400e-02	1.23240552e+01	6.27393770e-01
8.24848300e-02	1.19110407e+01	6.18115317e-01
8.34827100e-02	1.25695181e+01	6.32258131e-01
8.44806000e-02	1.20707768e+01	6.15301161e-01
8.54784800e-02	1.16231058e+01	6.08311028e-01
8.64763700e-02	1.25591182e+01	6.22457321e-01
8.74742600e-02	1.20996328e+01	6.04731913e-01
8.84721400e-02	1.19507108e+01	6.08940488e-01
8.94700300e-02	1.06313119e+01	5.74559416e-01
9.04679100e-02	1.07933516e+01	5.77147546e-01
9.14658000e-02	1.07017714e+01	5.64320058e-01
9.24636800e-02	1.10102364e+01	5.73842343e-01
9.34615700e-02	1.07098206e+01	5.70357552e-01
9.44594500e-02	1.03311362e+01	5.54118644e-01
9.54573400e-02	1.21520652e+01	5.94887536e-01
9.64552200e-02	1.11416712e+01	5.62506292e-01
9.74531100e-02	1.04202378e+01	5.53199119e-01
9.84509900e-02	1.03045963e+01	1.15302101e+01
9.94488800e-02	9.05785490e+00	1.10501631e+01
1.00446800e-01	1.04059250e+01	5.45857759e-01
1.01444700e-01	1.02249232e+01	1.14991279e+01
1.02442500e-01	1.01311837e+01	1.14714575e+01
1.03440400e-01	9.37723230e+00	1.11834397e+01
1.04438300e-01	1.03371289e+01	5.28216610e-01
1.05436200e-01	9.23666780e+00	5.09512793e-01
1.06434100e-01	8.84333780e+00	4.96718564e-01
1.07432000e-01	8.67765430e+00	4.97780917e-01
1.08429800e-01	8.42547500e+00	4.87664980e-01
1.09427700e-01	8.84641180e+00	4.91158818e-01
1.10425600e-01	8.51976390e+00	4.85396339e-01
1.11423500e-01	7.88413320e+00	1.05129440e+01
1.12421400e-01	7.69715500e+00	1.04627724e+01
1.13419300e-01	7.58951700e+00	4.61493536e-01
1.14417200e-01	7.22036940e+00	4.42368745e-01
1.15415000e-01	7.57833740e+00	4.60039623e-01
1.16412900e-01	6.75656340e+00	4.35923221e-01
1.17410800e-01	7.37112070e+00	4.46219177e-01
1.18408700e-01	7.59506520e+00	4.55129826e-01
1.19406600e-01	7.84692850e+00	4.52581490e-01
1.20404500e-01	7.05461790e+00	4.42400148e-01
1.21402400e-01	7.48165040e+00	4.42691612e-01
1.22400200e-01	7.08076200e+00	4.31478761e-01
1.23398100e-01	7.13947940e+00	4.31659218e-01
1.24396000e-01	6.42030740e+00	4.17426891e-01
1.25393900e-01	6.83075480e+00	4.28786508e-01
1.26391800e-01	6.58801850e+00	4.12802658e-01
1.27389700e-01	7.10530790e+00	4.28473040e-01
1.28387600e-01	6.70414750e+00	9.98289653e+00
1.29385400e-01	5.97327130e+00	9.69049245e+00
1.30383300e-01	5.53809970e+00	3.92230845e-01
1.31381200e-01	5.36081680e+00	3.77656095e-01
1.32379100e-01	5.67266770e+00	3.89072998e-01
1.33377000e-01	5.95294440e+00	3.91001802e-01
1.34374900e-01	5.77502020e+00	3.91028979e-01
1.35372800e-01	6.07802540e+00	3.95692272e-01
1.36370600e-01	5.51006140e+00	3.75649195e-01
1.37368500e-01	5.82443530e+00	3.87424581e-01
1.38366400e-01	5.49282900e+00	3.76333937e-01
1.39364300e-01	5.08810800e+00	3.63947876e-01
1.40362200e-01	5.50832770e+00	3.79151022e-01
1.41360100e-01	5.40851530e+00	9.40507279e+00
1.42357900e-01	4.89625130e+00	9.13061263e+00
1.43355800e-01	4.39423420e+00	3.43739016e-01
1.44353700e-01	4.83092850e+00	3.55791546e-01
1.45351600e-01	4.52650810e+00	3.43682043e-01
1.46349500e-01	4.18973610e+00	3.36017061e-01
1.47347400e-01	4.44290280e+00	3.45688391e-01
1.48345300e-01	4.31397220e+00	3.33288251e-01
1.49343100e-01	4.87397600e+00	3.52802245e-01
1.50341000e-01	4.48745190e+00	3.39600607e-01
1.51338900e-01	4.12876930e+00	3.31407108e-01
1.52336800e-01	3.36501210e+00	3.12989446e-01
1.53334700e-01	3.89077890e+00	3.16860635e-01
1.54332600e-01	3.71991260e+00	8.46862048e+00
1.55330500e-01	3.46942960e+00	8.35082426e+00
1.56328300e-01	4.04371070e+00	3.24848886e-01
1.57326200e-01	3.47667230e+00	3.13385496e-01
1.58324100e-01	3.58264450e+00	3.07812371e-01
1.59322000e-01	2.86325980e+00	2.92566644e-01
1.60319900e-01	3.84305500e+00	3.16419515e-01
1.61317800e-01	3.67173070e+00	3.11315918e-01
1.62315700e-01	2.77627490e+00	2.86229726e-01
1.63313500e-01	3.43535350e+00	2.98980330e-01
1.64311400e-01	3.07609430e+00	2.95077870e-01
1.65309300e-01	3.64962020e+00	3.04786579e-01
1.66307200e-01	2.86305440e+00	2.85785045e-01
1.67305100e-01	2.64802430e+00	2.78501770e-01
1.68303000e-01	2.65384520e+00	2.76378275e-01
1.69300900e-01	2.63292160e+00	2.80574067e-01
1.70298700e-01	2.74648590e+00	2.78997948e-01
1.71296600e-01	2.69575350e+00	2.78476013e-01
