q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_020_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_020_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
0.00000000e+00	-2.44999930e+02	0.00000000e+00
0.00000000e+00	1.04999970e+02	0.00000000e+00
2.26117100e-02	1.78909460e+01	4.91220763e+00
2.36095900e-02	2.11972080e+01	4.20726399e+00
2.46074800e-02	2.31680360e+01	2.66826418e+00
2.56053600e-02	2.00784510e+01	2.18616574e+00
2.66032500e-02	1.93976165e+01	1.91031937e+00
2.76011300e-02	1.69697188e+01	1.58259915e+00
2.85990200e-02	1.99002615e+01	1.51046429e+00
2.95969000e-02	1.94642908e+01	1.36169583e+00
3.05947900e-02	1.71586784e+01	1.19704284e+00
3.15926800e-02	2.09436365e+01	1.27395962e+00
3.25905600e-02	2.03720448e+01	1.22371540e+00
3.35884500e-02	2.02351937e+01	1.16734483e+00
3.45863300e-02	1.90449459e+01	1.14282565e+00
3.55842200e-02	2.00486272e+01	1.12064692e+00
3.65821000e-02	1.97241166e+01	1.10596987e+00
3.75799900e-02	1.77480727e+01	1.03420011e+00
3.85778700e-02	1.81855200e+01	1.00693381e+00
3.95757600e-02	1.88661377e+01	1.02015718e+00
4.05736400e-02	1.97747425e+01	1.00832119e+00
4.15715300e-02	1.75273932e+01	9.75703604e-01
4.25694100e-02	1.82012475e+01	1.47808258e+01
4.35673000e-02	1.82290638e+01	1.47618661e+01
4.45651900e-02	1.81961290e+01	1.47180765e+01
4.55630700e-02	1.95683057e+01	9.38010021e-01
4.65609600e-02	1.87194543e+01	1.48493256e+01
4.75588400e-02	1.77334900e+01	1.45047586e+01
4.85567300e-02	1.71199307e+01	1.43152881e+01
4.95546100e-02	1.79107288e+01	1.45661391e+01
5.05525000e-02	1.74340845e+01	8.54022284e-01
5.15503800e-02	1.71767450e+01	8.43162601e-01
5.25482700e-02	1.65084692e+01	8.28300981e-01
5.35461500e-02	1.69749071e+01	8.28794154e-01
5.45440400e-02	1.59394783e+01	8.04663117e-01
5.55419200e-02	1.55207747e+01	7.77889989e-01
5.65398100e-02	1.67255282e+01	8.26213249e-01
5.75376900e-02	1.61556927e+01	7.87561201e-01
5.85355800e-02	1.69169244e+01	8.12407511e-01
5.95334700e-02	1.45586989e+01	7.57444230e-01
6.05313500e-02	1.53813733e+01	7.53760987e-01
6.15292400e-02	1.45924134e+01	7.61481683e-01
6.25271200e-02	1.58389346e+01	7.66080843e-01
6.35250100e-02	1.46380288e+01	7.38529154e-01
6.45228900e-02	1.47758573e+01	7.36815470e-01
6.55207800e-02	1.51008079e+01	7.34867593e-01
6.65186600e-02	1.47100673e+01	7.48258566e-01
6.75165500e-02	1.62659895e+01	7.51942959e-01
6.85144300e-02	1.56032963e+01	7.48301611e-01
6.95123200e-02	1.56525905e+01	7.26541183e-01
7.05102000e-02	1.41874726e+01	7.08320070e-01
7.15080900e-02	1.44886937e+01	7.11652604e-01
7.25059700e-02	1.50047119e+01	1.33400740e+01
7.35038600e-02	1.41338744e+01	1.30676379e+01
7.45017500e-02	1.36564971e+01	1.29009194e+01
7.54996300e-02	1.34237017e+01	6.79529719e-01
7.64975200e-02	1.30869123e+01	6.63979746e-01
7.74954000e-02	1.25531535e+01	6.47436917e-01
7.84932900e-02	1.45701899e+01	6.88671398e-01
7.94911700e-02	1.30406825e+01	6.42320451e-01
8.04890600e-02	1.27917136e+01	6.54819585e-01
8.14869400e-02	1.24539152e+01	6.30076202e-01
8.24848300e-02	1.29728807e+01	6.39973828e-01
8.34827100e-02	1.25695181e+01	6.32258131e-01
8.44806000e-02	1.13853868e+01	6.00996593e-01
8.54784800e-02	1.14950958e+01	6.05611127e-01
8.64763700e-02	1.17284782e+01	6.05429658e-01
8.74742600e-02	1.26888428e+01	6.16575933e-01
8.84721400e-02	1.20009108e+01	6.09974243e-01
8.94700300e-02	1.12205219e+01	5.87012593e-01
9.04679100e-02	1.23602816e+01	6.09477517e-01
9.14658000e-02	1.07725114e+01	5.65796244e-01
9.24636800e-02	1.18488264e+01	5.91089816e-01
9.34615700e-02	1.19142306e+01	5.95248043e-01
9.44594500e-02	1.17546062e+01	5.83322452e-01
9.54573400e-02	1.12038252e+01	5.75684113e-01
9.64552200e-02	9.91664120e+00	5.37236020e-01
9.74531100e-02	1.03276178e+01	5.51257416e-01
9.84509900e-02	9.67453630e+00	1.12827277e+01
9.94488800e-02	1.04433249e+01	1.15983252e+01
1.00446800e-01	9.50078500e+00	5.26762587e-01
1.01444700e-01	1.04683032e+01	1.15935699e+01
1.02442500e-01	8.98348370e+00	1.10140730e+01
1.03440400e-01	9.42237230e+00	1.12015056e+01
1.04438300e-01	1.01451089e+01	5.24324336e-01
1.05436200e-01	9.82106780e+00	5.21778194e-01
1.06434100e-01	8.50196780e+00	4.89332308e-01
1.07432000e-01	1.00845543e+01	5.27482392e-01
1.08429800e-01	9.95797500e+00	5.20034656e-01
1.09427700e-01	9.26417180e+00	4.99963038e-01
1.10425600e-01	1.03035439e+01	5.22535573e-01
1.11423500e-01	8.44032320e+00	1.07473700e+01
1.12421400e-01	8.02827500e+00	1.06036186e+01
1.13419300e-01	8.37773700e+00	4.78880248e-01
1.14417200e-01	7.81380040e+00	4.55443697e-01
1.15415000e-01	7.96883740e+00	4.68681273e-01
1.16412900e-01	8.01108940e+00	4.63692221e-01
1.17410800e-01	7.84482070e+00	4.56575729e-01
1.18408700e-01	7.29369520e+00	4.48428393e-01
1.19406600e-01	7.44136850e+00	4.43844341e-01
1.20404500e-01	6.85459890e+00	4.37855047e-01
1.21402400e-01	7.46246040e+00	4.42275583e-01
1.22400200e-01	7.74806300e+00	4.45978063e-01
1.23398100e-01	7.21509840e+00	4.33311951e-01
1.24396000e-01	6.64909640e+00	4.22619477e-01
1.25393900e-01	6.40770880e+00	4.19193190e-01
1.26391800e-01	7.01122250e+00	4.22129157e-01
1.27389700e-01	6.52294490e+00	4.15510439e-01
1.28387600e-01	6.31774450e+00	9.80794100e+00
1.29385400e-01	6.50907630e+00	9.93513606e+00
1.30383300e-01	5.91146970e+00	4.01017827e-01
1.31381200e-01	5.50221180e+00	3.80950395e-01
1.32379100e-01	5.65445470e+00	3.88646470e-01
1.33377000e-01	5.40504040e+00	3.78415845e-01
1.34374900e-01	5.86535220e+00	3.93110163e-01
1.35372800e-01	5.13006840e+00	3.73653917e-01
1.36370600e-01	5.64713040e+00	3.78762199e-01
1.37368500e-01	6.08955030e+00	3.93425419e-01
1.38366400e-01	5.42336500e+00	3.74727748e-01
1.39364300e-01	4.84638900e+00	3.58168452e-01
1.40362200e-01	5.38557570e+00	3.76301675e-01
1.41360100e-01	5.27427030e+00	9.34090135e+00
1.42357900e-01	4.86211530e+00	9.11384688e+00
1.43355800e-01	4.44457620e+00	3.44965634e-01
1.44353700e-01	4.37270250e+00	3.44689547e-01
1.45351600e-01	4.92256910e+00	3.53062832e-01
1.46349500e-01	4.74876310e+00	3.49426623e-01
1.47347400e-01	4.78041280e+00	3.53830615e-01
1.48345300e-01	4.50599120e+00	3.37866320e-01
1.49343100e-01	4.37706900e+00	3.40938246e-01
1.50341000e-01	4.21247890e+00	3.32987868e-01
1.51338900e-01	4.53168630e+00	3.41063511e-01
1.52336800e-01	4.57949010e+00	3.43357281e-01
1.53334700e-01	4.10596290e+00	3.22037436e-01
1.54332600e-01	3.96079660e+00	8.59511856e+00
1.55330500e-01	4.23840160e+00	8.75368069e+00
1.56328300e-01	3.76172470e+00	3.17976792e-01
1.57326200e-01	4.00661630e+00	3.26681479e-01
1.58324100e-01	3.90105150e+00	3.15556978e-01
1.59322000e-01	3.22045280e+00	3.01898134e-01
1.60319900e-01	3.92017100e+00	3.18293427e-01
1.61317800e-01	3.53316070e+00	3.07870275e-01
1.62315700e-01	3.03490790e+00	2.93022547e-01
1.63313500e-01	3.40582750e+00	2.98250503e-01
1.64311400e-01	3.39612530e+00	3.03229390e-01
1.65309300e-01	2.83364620e+00	2.84234297e-01
1.66307200e-01	2.96777240e+00	2.88512809e-01
1.67305100e-01	3.48298130e+00	3.00020647e-01
1.68303000e-01	2.99904720e+00	2.85219430e-01
1.69300900e-01	3.01006260e+00	2.90536167e-01
1.70298700e-01	2.97885890e+00	2.84981837e-01
1.71296600e-01	2.92926150e+00	2.84529045e-01
