q[nm-1]	I(q)[sr-1]_SDS_DTAB_4to1_SDD_1000_sub_nmA_rebin_ave.h5_00001_[|]	error
5.72472200e-02	8.91163667e-02	8.69939442e-03
5.84015900e-02	1.00454933e-01	8.76764802e-03
5.95559700e-02	9.72966000e-02	8.80922422e-03
6.07103400e-02	9.26275667e-02	8.47603055e-03
6.18647200e-02	9.88199667e-02	8.62894357e-03
6.30191000e-02	9.87662333e-02	8.34729357e-03
6.41734700e-02	1.06965700e-01	8.23754329e-03
6.53278500e-02	1.07928933e-01	8.22656816e-03
6.64822200e-02	9.90558000e-02	8.17705784e-03
6.80213900e-02	1.08191260e-01	6.23615633e-03
6.99453500e-02	1.15463040e-01	6.37412621e-03
7.18693100e-02	1.20716020e-01	6.22774077e-03
7.37932700e-02	1.39616800e-01	1.26821583e-01
7.57172300e-02	1.39663940e-01	1.71915949e-01
7.76411900e-02	1.47716320e-01	6.86020471e-02
7.95651500e-02	1.49546480e-01	6.03386780e-03
8.14891000e-02	1.58276760e-01	1.26868219e-01
8.34130600e-02	1.55460900e-01	1.03021282e-01
8.53370200e-02	1.66059440e-01	1.07861577e-01
8.72609800e-02	1.67049260e-01	1.56315106e-01
8.91849400e-02	1.61203760e-01	1.04878495e-01
9.11089000e-02	1.70400620e-01	5.80129804e-03
9.30328600e-02	1.65899220e-01	5.74382035e-03
9.49568200e-02	1.79444680e-01	9.51470824e-02
9.68807800e-02	1.79246020e-01	1.23771835e-01
9.88047400e-02	1.84882160e-01	1.11327716e-01
1.01113500e-01	1.84062300e-01	4.76978534e-02
1.03807000e-01	1.90094361e-01	8.11138042e-02
1.06500600e-01	1.81646400e-01	8.88314762e-02
1.09194100e-01	1.88568443e-01	7.84226234e-02
1.11887700e-01	1.83275543e-01	1.20259702e-01
1.14581200e-01	1.88290916e-01	1.27175595e-01
1.17274700e-01	1.84784050e-01	1.09924058e-01
1.19968300e-01	1.89840786e-01	4.37063290e-03
1.22661800e-01	1.90885027e-01	9.19316928e-02
1.25355400e-01	1.80070200e-01	7.74023958e-02
1.28048900e-01	1.84144981e-01	4.23165987e-03
1.30742500e-01	1.86965554e-01	4.16182358e-03
1.33436000e-01	1.72921686e-01	4.06812733e-03
1.36514300e-01	1.73375918e-01	5.88443610e-02
1.39977500e-01	1.70911113e-01	1.08605233e-01
1.43440600e-01	1.75084616e-01	8.94630509e-02
1.46903700e-01	1.59808088e-01	5.76786410e-02
1.50366800e-01	1.53223643e-01	5.19736812e-02
1.53830000e-01	1.52006164e-01	3.22434551e-03
1.57293100e-01	1.45872736e-01	9.16710278e-02
1.60756200e-01	1.43394131e-01	3.51558179e-02
1.64219400e-01	1.39665671e-01	8.42051304e-02
1.68067300e-01	1.25930819e-01	4.96327226e-02
1.72300000e-01	1.28049707e-01	7.41603823e-02
1.76532700e-01	1.17333711e-01	7.22451992e-02
1.80765400e-01	1.11293567e-01	4.88446933e-02
1.84998100e-01	1.08232480e-01	9.12578347e-02
1.89230800e-01	1.03852956e-01	5.71008956e-02
1.93463500e-01	9.69719109e-02	2.96095413e-03
1.97696200e-01	9.22026664e-02	4.17624086e-02
2.02313700e-01	8.32895154e-02	2.53887068e-02
2.07316000e-01	8.19996446e-02	2.71549095e-03
2.12318300e-01	7.56125992e-02	8.12778218e-02
2.17320600e-01	7.16366277e-02	3.88434398e-02
2.22322900e-01	6.32520123e-02	7.21976714e-02
2.27325200e-01	6.63947892e-02	3.01827268e-02
2.32327500e-01	5.63766508e-02	3.43856145e-02
2.37714600e-01	5.85632773e-02	6.95279303e-02
2.43486500e-01	5.61483113e-02	5.41019912e-02
2.49258300e-01	5.41327573e-02	2.43490162e-03
2.55030200e-01	5.55286140e-02	4.23947831e-02
2.60802100e-01	5.44793107e-02	2.38273370e-03
2.66574000e-01	4.85293660e-02	4.62537125e-02
2.72730700e-01	5.11522965e-02	3.20388512e-02
2.79272100e-01	4.79413412e-02	5.19454101e-02
2.85813600e-01	4.58912629e-02	5.74787394e-02
2.92355000e-01	4.64508935e-02	4.21441377e-02
2.98896500e-01	5.09569506e-02	4.69525939e-02
3.05822700e-01	4.93169216e-02	5.06580956e-02
3.13133800e-01	4.97906342e-02	2.10414448e-02
3.20444800e-01	4.86498053e-02	2.04347151e-02
3.27755900e-01	4.60371947e-02	4.18040644e-02
3.35451700e-01	4.81712562e-02	2.03424695e-03
3.43532400e-01	4.87085829e-02	4.73289999e-02
3.51613000e-01	4.97050138e-02	1.58660550e-02
3.59693600e-01	4.86687829e-02	2.40725611e-03
3.68159000e-01	5.13142965e-02	2.81062431e-03
3.77009200e-01	4.87511122e-02	3.45752588e-03
