q[nm-1]	I(q)[sr-1]_DTAB_2wtpc_SDD1000_nmA_rebin_ave.h5_00001_[|]	error
5.72472200e-02	3.09690067e-01	8.06115665e-03
5.84015900e-02	3.35625700e-01	8.53549210e-03
5.95559700e-02	3.29485400e-01	8.31727886e-03
6.07103400e-02	3.31077600e-01	8.21936987e-03
6.18647200e-02	3.36427633e-01	8.23266888e-03
6.30191000e-02	3.31842067e-01	8.05137209e-03
6.41734700e-02	3.23007400e-01	7.99120545e-03
6.53278500e-02	3.12738467e-01	7.74368222e-03
6.64822200e-02	3.02154767e-01	7.56975316e-03
6.80213900e-02	3.09973920e-01	5.86376224e-03
6.99453500e-02	3.04215480e-01	5.73355282e-03
7.18693100e-02	3.05342080e-01	5.67714136e-03
7.37932700e-02	2.92299340e-01	1.06463460e-01
7.57172300e-02	2.87923280e-01	1.82271287e-01
7.76411900e-02	2.94117660e-01	1.08925410e-01
7.95651500e-02	2.94492080e-01	1.03607910e-01
8.14891000e-02	2.96083260e-01	1.08205578e-01
8.34130600e-02	2.84204060e-01	5.16716286e-03
8.53370200e-02	2.79300600e-01	5.04092373e-03
8.72609800e-02	2.72769320e-01	1.03575083e-01
8.91849400e-02	2.68270360e-01	4.85986630e-03
9.11089000e-02	2.85968700e-01	4.96239220e-03
9.30328600e-02	2.70956000e-01	1.81045894e-01
9.49568200e-02	2.66527300e-01	9.89284777e-02
9.68807800e-02	2.64584420e-01	1.46120970e-01
9.88047400e-02	2.67734060e-01	4.63391271e-03
1.01113500e-01	2.57795429e-01	7.34442529e-02
1.03807000e-01	2.65010914e-01	4.04472770e-03
1.06500600e-01	2.45666814e-01	3.61910317e-03
1.09194100e-01	2.44060500e-01	7.03988737e-02
1.11887700e-01	2.33231829e-01	9.56783962e-02
1.14581200e-01	2.35620529e-01	3.42938366e-03
1.17274700e-01	2.36065071e-01	3.40013767e-03
1.19968300e-01	2.23487786e-01	3.26751916e-03
1.22661800e-01	2.22579029e-01	3.22569825e-03
1.25355400e-01	2.15161157e-01	3.13932332e-03
1.28048900e-01	2.15880586e-01	6.47968398e-02
1.30742500e-01	2.09539114e-01	3.03813738e-03
1.33436000e-01	2.08380600e-01	2.99989284e-03
1.36514300e-01	2.06430356e-01	2.62027944e-03
1.39977500e-01	2.07869656e-01	2.59179754e-03
1.43440600e-01	1.94975889e-01	8.36661814e-02
1.46903700e-01	1.95502678e-01	6.89346167e-02
1.50366800e-01	1.94859778e-01	2.41838858e-03
1.53830000e-01	1.83335222e-01	2.33241834e-03
1.57293100e-01	1.82738444e-01	2.29719332e-03
1.60756200e-01	1.85762956e-01	2.29038883e-03
1.64219400e-01	1.85373111e-01	4.71542819e-02
1.68067300e-01	1.76122082e-01	8.51582138e-02
1.72300000e-01	1.79883145e-01	2.25588905e-03
1.76532700e-01	1.77164391e-01	2.33652087e-03
1.80765400e-01	1.68930345e-01	2.18968151e-03
1.84998100e-01	1.71499836e-01	8.34837052e-02
1.89230800e-01	1.69191909e-01	2.15000361e-03
1.93463500e-01	1.62935964e-01	2.19751133e-03
1.97696200e-01	1.62924400e-01	2.22875570e-03
2.02313700e-01	1.58964177e-01	4.29877080e-02
2.07316000e-01	1.57258669e-01	2.05330092e-03
2.12318300e-01	1.58667862e-01	2.96008387e-02
2.17320600e-01	1.57318731e-01	2.07234358e-03
2.22322900e-01	1.56620354e-01	2.08028219e-03
2.27325200e-01	1.54135900e-01	3.00351153e-02
2.32327500e-01	1.55249315e-01	2.08757536e-03
2.37714600e-01	1.51640680e-01	6.36833116e-02
2.43486500e-01	1.52962867e-01	2.56529807e-02
2.49258300e-01	1.48928933e-01	2.58106575e-02
2.55030200e-01	1.50762753e-01	2.59468299e-02
2.60802100e-01	1.49721027e-01	2.51703016e-02
2.66574000e-01	1.51423847e-01	6.80868040e-02
2.72730700e-01	1.47579488e-01	4.40970012e-02
2.79272100e-01	1.45559224e-01	3.15829568e-02
2.85813600e-01	1.50741600e-01	1.75580330e-03
2.92355000e-01	1.47040371e-01	1.74370557e-03
2.98896500e-01	1.50948959e-01	5.98540101e-02
3.05822700e-01	1.45482437e-01	3.44934408e-02
3.13133800e-01	1.47066984e-01	5.96953392e-02
3.20444800e-01	1.51265663e-01	2.86073798e-02
3.27755900e-01	1.50666363e-01	2.91283789e-02
3.35451700e-01	1.50725414e-01	1.86758453e-02
3.43532400e-01	1.51507510e-01	1.94332367e-02
3.51613000e-01	1.52058033e-01	1.61542285e-03
3.59693600e-01	1.53849552e-01	2.58253367e-02
3.68159000e-01	1.53185078e-01	2.18959300e-03
3.77009200e-01	1.53154683e-01	2.71741910e-03
