q[nm-1]	I(q)[sr-1]_LUV_SDD_700_mult_sub_nmA_rebin_ave.h5_00001_[|]	error
8.16072300e-02	2.52984897e-01	1.10629358e-02
8.32251500e-02	2.64852050e-01	1.09680187e-02
8.48430800e-02	3.00027547e-01	1.10059663e-02
8.64610000e-02	2.68849490e-01	1.07577653e-02
8.80789300e-02	2.64929667e-01	1.06037901e-02
8.96968500e-02	2.74353740e-01	1.06554177e-02
9.13147700e-02	2.81033653e-01	1.04436580e-02
9.29327000e-02	2.62485843e-01	1.04407909e-02
9.50899300e-02	2.57291856e-01	7.87043808e-03
9.77864700e-02	2.55666460e-01	7.80437867e-03
1.00483000e-01	2.53776732e-01	9.18482188e-02
1.03179600e-01	2.48511602e-01	7.49108171e-03
1.05876100e-01	2.42109972e-01	7.39676768e-03
1.08572600e-01	2.34721510e-01	1.54487767e-01
1.11269200e-01	2.21771990e-01	1.34772596e-01
1.13965700e-01	2.26957338e-01	9.06490221e-02
1.16662300e-01	2.06475858e-01	1.26605010e-01
1.19358800e-01	2.06485756e-01	1.58846468e-01
1.22055300e-01	2.06565206e-01	1.23553582e-01
1.24751900e-01	1.92075540e-01	2.41286572e-01
1.27448400e-01	1.81525844e-01	1.52612000e-01
1.30145000e-01	1.63504274e-01	1.49792336e-01
1.32841500e-01	1.55388126e-01	6.17733632e-03
1.35538000e-01	1.44023552e-01	6.07508969e-03
1.38234600e-01	1.41226310e-01	1.51837597e-01
1.41470400e-01	1.36909651e-01	8.71291424e-02
1.45245600e-01	1.20689754e-01	1.19844806e-01
1.49020700e-01	1.11589950e-01	1.34102483e-01
1.52795900e-01	9.47149257e-02	1.52418531e-01
1.56571000e-01	9.29524714e-02	4.47269167e-03
1.60346200e-01	9.22908300e-02	6.33566837e-02
1.64121400e-01	7.64789900e-02	1.17675022e-01
1.67896500e-01	7.22280014e-02	8.88322029e-02
1.71671700e-01	6.43803257e-02	4.08648052e-03
1.75446800e-01	5.72451243e-02	4.04286669e-03
1.79222000e-01	5.22239300e-02	1.48613226e-01
1.82997100e-01	5.42875829e-02	7.27195187e-02
1.86772300e-01	4.72082643e-02	7.25576922e-02
1.91086800e-01	4.92452211e-02	1.21703091e-01
1.95940500e-01	4.48616300e-02	3.33689201e-03
