q[nm-1]	I(q)[sr-1]_SDS_2wtpc_SDD_1000_mult_sub_nmA_rebin_ave.h5_00001_[|]	error
5.72472200e-02	4.40877600e-02	8.58594303e-03
5.84015900e-02	4.56637467e-02	8.48893737e-03
5.95559700e-02	4.55346867e-02	8.52446028e-03
6.07103400e-02	3.76873067e-02	8.18802943e-03
6.18647200e-02	3.92843333e-02	8.31616024e-03
6.30191000e-02	4.24954933e-02	7.99240993e-03
6.41734700e-02	4.09566733e-02	7.73375708e-03
6.53278500e-02	4.04203067e-02	7.76200106e-03
6.64822200e-02	4.45066333e-02	7.83732888e-03
6.80213900e-02	3.42944400e-02	5.81609672e-03
6.99453500e-02	3.67936840e-02	5.87414224e-03
7.18693100e-02	4.87204960e-02	5.85148465e-03
7.37932700e-02	4.37380320e-02	1.13519197e-01
7.57172300e-02	5.09779320e-02	1.59148881e-01
7.76411900e-02	6.21156680e-02	6.85589005e-02
7.95651500e-02	6.05013240e-02	9.28387621e-02
8.14891000e-02	6.32226400e-02	1.14588973e-01
8.34130600e-02	7.05184520e-02	9.87789474e-02
8.53370200e-02	7.05140640e-02	9.58672016e-02
8.72609800e-02	7.82052640e-02	1.76302788e-01
8.91849400e-02	7.68981280e-02	5.48527935e-03
9.11089000e-02	8.87807600e-02	5.48066315e-03
9.30328600e-02	9.64314680e-02	5.52269469e-03
9.49568200e-02	9.75250160e-02	9.51276391e-02
9.68807800e-02	1.20424816e-01	1.24874621e-01
9.88047400e-02	1.22750968e-01	5.48174941e-03
1.01113500e-01	1.24705074e-01	1.40114158e-01
1.03807000e-01	1.32205559e-01	8.11084842e-02
1.06500600e-01	1.35831334e-01	4.75175597e-02
1.09194100e-01	1.44620900e-01	7.96778014e-02
1.11887700e-01	1.60931180e-01	4.86212335e-02
1.14581200e-01	1.45663950e-01	1.01727873e-01
1.17274700e-01	1.59379936e-01	4.50586928e-03
1.19968300e-01	1.72436886e-01	4.53778239e-03
1.22661800e-01	1.75783579e-01	4.72204639e-02
1.25355400e-01	1.68692314e-01	4.46193473e-03
1.28048900e-01	1.77080504e-01	4.45225109e-03
1.30742500e-01	1.76810551e-01	8.22856199e-02
1.33436000e-01	1.84783554e-01	8.53237418e-02
1.36514300e-01	1.81387058e-01	1.12817288e-01
1.39977500e-01	1.76359836e-01	7.23072081e-02
1.43440600e-01	1.77564193e-01	9.57726615e-02
1.46903700e-01	1.68327274e-01	3.59698293e-03
1.50366800e-01	1.57571066e-01	5.19881414e-02
1.53830000e-01	1.57894307e-01	3.44803439e-03
1.57293100e-01	1.55940618e-01	1.33063386e-01
1.60756200e-01	1.49620436e-01	3.51756149e-02
1.64219400e-01	1.42760109e-01	9.10040946e-02
1.68067300e-01	1.29924603e-01	4.96444817e-02
1.72300000e-01	1.24634167e-01	4.03778514e-02
1.76532700e-01	1.12988953e-01	3.27507107e-03
1.80765400e-01	1.11474669e-01	5.30765425e-02
1.84998100e-01	1.00622751e-01	6.00831417e-02
1.89230800e-01	9.92300200e-02	7.13618520e-02
1.93463500e-01	8.54170000e-02	4.22261657e-02
1.97696200e-01	8.51735864e-02	6.08092545e-02
2.02313700e-01	7.39887262e-02	2.54000942e-02
2.07316000e-01	7.48253692e-02	5.93590710e-02
2.12318300e-01	6.68197500e-02	4.16336214e-02
2.17320600e-01	6.36532231e-02	2.27796731e-02
2.22322900e-01	6.23570862e-02	2.43098595e-02
2.27325200e-01	5.81708723e-02	2.77009337e-03
2.32327500e-01	4.71895292e-02	4.75026861e-02
2.37714600e-01	5.45941947e-02	7.13726499e-02
2.43486500e-01	5.07278367e-02	6.71417647e-02
2.49258300e-01	4.89207920e-02	2.53403334e-03
2.55030200e-01	4.75607073e-02	4.47665950e-02
2.60802100e-01	5.19111947e-02	2.49146419e-03
2.66574000e-01	4.76433873e-02	4.78730353e-02
2.72730700e-01	5.08640224e-02	5.56031374e-02
2.79272100e-01	4.44576788e-02	6.47872016e-02
2.85813600e-01	4.61669582e-02	2.65322873e-02
2.92355000e-01	4.14406524e-02	3.59589337e-02
2.98896500e-01	4.35132518e-02	5.44776924e-02
